map_case,phase,metric,mean,median,std,min,max,mean_abs_temporal_change
M3_ANGLED_Y,CORRIDOR,lidar_range_profile_change,2.279078040414129,2.5585583492865633,1.7171804847233603,0.0,4.726215463707089,1.1815538659267721
M4_ASYMMETRIC_CROSS,CORRIDOR,local_front_lateral_span,64.04376762470527,76.10567737792374,22.328134598253577,25.429030477669293,86.29938182206956,37.90099856632136
M4_ASYMMETRIC_CROSS,CORRIDOR,local_front_lateral_velocity_variance,113.57752035752401,35.590314704621335,127.0428053388331,0.9085067355305391,313.4359432292227,252.32466459676323
M4_ASYMMETRIC_CROSS,CORRIDOR,motion_bearing_spread,121.58130567676751,122.82301732669768,25.23931473097423,85.49057436718617,160.4722776463644,18.74542581979456
M4_ASYMMETRIC_CROSS,CORRIDOR,boundary_angular_spread,354.51905838642426,354.7977294251592,1.4338609043036992,352.4271880621058,356.0875143609578,0.9150815747129997
M4_ASYMMETRIC_CROSS,CORRIDOR,mean_neighbor_degree,44.775,42.575,13.187546735040938,29.183333333333334,63.46666666666667,8.570833333333333
M4_ASYMMETRIC_CROSS,CORRIDOR,lidar_left_wall_support,0.9560283687943263,0.9645390070921985,0.021697955376990565,0.9148936170212766,0.9787234042553191,0.01950354609929078
M4_ASYMMETRIC_CROSS,CORRIDOR,lidar_right_wall_support,1.0,1.0,0.0,1.0,1.0,0.0
M4_ASYMMETRIC_CROSS,CORRIDOR,lidar_forward_range,150.0,150.0,0.0,150.0,150.0,0.0
M4_ASYMMETRIC_CROSS,CORRIDOR,lidar_free_space_angular_span,34.4,34.0,1.4966629547095767,33.0,37.0,1.0
M4_ASYMMETRIC_CROSS,CORRIDOR,lidar_range_profile_change,2.2804562494810665,2.5897429779208925,1.7149348492385732,0.0,4.724346902035772,1.181086725508943
M5_UNEQUAL_WIDTH,CORRIDOR,local_front_lateral_span,64.04376762470527,76.10567737792374,22.328134598253577,25.429030477669293,86.29938182206956,37.90099856632136
M5_UNEQUAL_WIDTH,CORRIDOR,local_front_lateral_velocity_variance,113.57752035752401,35.590314704621335,127.0428053388331,0.9085067355305391,313.4359432292227,252.32466459676323
M5_UNEQUAL_WIDTH,CORRIDOR,motion_bearing_spread,121.58130567676751,122.82301732669768,25.23931473097423,85.49057436718617,160.4722776463644,18.74542581979456
M5_UNEQUAL_WIDTH,CORRIDOR,boundary_angular_spread,354.51905838642426,354.7977294251592,1.4338609043036992,352.4271880621058,356.0875143609578,0.9150815747129997
M5_UNEQUAL_WIDTH,CORRIDOR,mean_neighbor_degree,44.775,42.575,13.187546735040938,29.183333333333334,63.46666666666667,8.570833333333333
M5_UNEQUAL_WIDTH,CORRIDOR,lidar_left_wall_support,0.950354609929078,0.9645390070921985,0.023307342872560245,0.9078014184397163,0.9716312056737588,0.017730496453900707
M5_UNEQUAL_WIDTH,CORRIDOR,lidar_right_wall_support,1.0,1.0,0.0,1.0,1.0,0.0
M5_UNEQUAL_WIDTH,CORRIDOR,lidar_forward_range,150.0,150.0,0.0,150.0,150.0,0.0
M5_UNEQUAL_WIDTH,CORRIDOR,lidar_free_space_angular_span,37.0,36.0,2.0976176963403033,35.0,40.0,1.25
M5_UNEQUAL_WIDTH,CORRIDOR,lidar_range_profile_change,2.259894617168505,2.572230007080645,1.7005792782113935,0.0,4.685541183373839,1.1713852958434599
