viewpoint_id,forward_ratio_W,lateral_ratio_W,gap_id,gap_width,gap_width_ratio_W,free_continuation_depth,free_continuation_depth_ratio_W,matched_branch_eval,true_positive_eval,false_positive_eval,center_error_eval,endpoint_error_eval,mouth_overlap_eval
F+0.000_L-0.100,0.0,-0.1,0,84.000997676559,1.0000118771018929,40.76022291745144,0.4852407490172791,INCOMING,True,False,1.710936306001713,1.7109363060017202,0.9796319525562115
A0,0.0,0.0,0,84.02980706814161,1.0003548460493048,40.55194876336671,0.48276129480198465,INCOMING,True,False,1.3149835108633,1.314983510863307,0.9843509873847864
F+0.000_L+0.100,0.0,0.1,1,84.04701526569045,1.000559705543934,43.96926341713673,0.5234436121087706,INCOMING,True,False,5.206205523130677,5.206205523130677,0.9380560332015033
F+0.000_L+0.200,0.0,0.2,0,84.00607213573271,1.0000722873301513,38.67967863291699,0.4604723646775832,INCOMING,True,False,0.986998050134801,0.986998050134801,0.9882508725257376
F+0.000_L+0.300,0.0,0.3,1,84.06724559603438,1.0008005428099331,38.024064987435096,0.4526674403266083,INCOMING,True,False,2.067399397682834,2.067399397682827,0.9754077895258132
F+0.000_L+0.400,0.0,0.4,1,90.85162600392903,1.0815669762372504,50.337248417569114,0.5992529573520132,FALSE,False,True,17.57058419550728,17.570584195507273,0.8066013238470008
F+0.100_L-0.500,0.1,-0.5,2,108.03216172300553,1.2860971633691134,71.3404499109166,0.8492910703680548,FALSE,False,True,34.76014850845441,34.76014850845441,0.6782425904095168
F+0.100_L-0.400,0.1,-0.4,2,84.14535299234208,1.001730392765977,45.85666154805796,0.5459126374768805,INCOMING,True,False,3.191499304728609,3.1914993047286018,0.9620715917013378
F+0.100_L-0.300,0.1,-0.3,2,84.16528464289703,1.0019676743202028,49.110233634608235,0.5846456385072409,INCOMING,True,False,4.219304504420336,4.219304504420336,0.9498688262943288
F+0.100_L-0.200,0.1,-0.2,2,84.01995631606161,1.0002375751912096,49.16418001446888,0.5852878573151058,INCOMING,True,False,2.6406616493228654,2.6406616493228654,0.9685710185400553
F+0.100_L-0.100,0.1,-0.1,0,84.0391871718495,1.0004665139505893,51.33694349289887,0.611154089201177,INCOMING,True,False,3.909343499058764,3.9093434990587568,0.9534818977834156
F+0.100_L+0.000,0.1,0.0,0,84.01007792693686,1.0001199753206769,51.0425141884447,0.6076489784338654,INCOMING,True,False,3.4070529241988083,3.4070529241988083,0.9594447117742004
F+0.100_L+0.100,0.1,0.1,1,84.0000793157494,1.0000009442351119,51.42993483041542,0.6122611289335169,INCOMING,True,False,4.3040110386475305,4.304011038647538,0.9487618217303211
F+0.100_L+0.200,0.1,0.2,0,84.00316078559463,1.0000376283999362,47.15450646585157,0.5613631722125186,INCOMING,True,False,1.192309279578481,1.192309279578481,0.9858063759931407
F+0.100_L+0.300,0.1,0.3,1,84.31613809182969,1.0037635487122583,47.786684419517144,0.568889100232347,INCOMING,True,False,3.755698308789718,3.755698308789718,0.9554569458020084
F+0.100_L+0.400,0.1,0.4,1,87.13080105748345,1.0372714411605173,55.675089525873176,0.6627986848318235,FALSE,False,True,14.903358986057768,14.903358986057768,0.8289541837653316
F+0.200_L-0.500,0.2,-0.5,2,101.91531800500697,1.213277595297702,75.68564532178787,0.9010195871641413,FALSE,False,True,31.470605322453892,31.470605322453892,0.6912082899951528
F+0.200_L-0.400,0.2,-0.4,2,84.4208458565729,1.005010069721106,57.38294336183512,0.6831302781170847,INCOMING,True,False,6.976070190981233,6.9760701909812255,0.9173655497028157
F+0.200_L-0.300,0.2,-0.3,2,84.22319111976677,1.0026570371400805,56.619430113239545,0.6740408346814232,INCOMING,True,False,3.5575142939352418,3.5575142939352347,0.9577608702943066
F+0.200_L-0.200,0.2,-0.2,2,84.05684738278975,1.000676754557021,59.01432333565815,0.7025514682816446,INCOMING,True,False,4.214499913172617,4.214499913172617,0.9498613135705645
F+0.200_L-0.100,0.2,-0.1,0,84.00248882528793,1.0000296288724753,57.962330471651384,0.6900277437101355,INCOMING,True,False,2.1508634753302402,2.1508634753302402,0.9743952410766816
F+0.200_L+0.000,0.2,0.0,0,84.0717290893368,1.0008539177302,57.871180919358935,0.6889426299923682,INCOMING,True,False,1.8368827400378223,1.8368827400378294,0.9781510055766082
F+0.200_L+0.100,0.2,0.1,1,84.02666695317414,1.0003174637282637,58.03113198059545,0.690846809292803,INCOMING,True,False,2.543131463676133,2.5431314636761257,0.9697342337154305
F+0.200_L+0.200,0.2,0.2,0,84.19902172955565,1.002369306304234,57.748757148175144,0.6874852041449422,INCOMING,True,False,3.584354798689702,3.584354798689695,0.9574299709775427
F+0.200_L+0.300,0.2,0.3,1,84.23080911001276,1.002747727500152,57.57961805468237,0.6854716435081235,INCOMING,True,False,5.548767009734917,5.548767009734917,0.9341242584707011
F+0.200_L+0.400,0.2,0.4,1,85.57153316720297,1.0187087281809877,58.8285338428947,0.7003396886058892,INCOMING,True,False,9.914562935812256,9.914562935812256,0.8841371356939505
F+0.300_L-0.500,0.3,-0.5,2,98.55026115335774,1.1732173946828302,78.26175211755175,0.9316875252089494,FALSE,False,True,26.157908312118664,26.157908312118664,0.7345729173521583
F+0.300_L-0.400,0.3,-0.4,2,84.02821981387221,1.0003359501651454,60.307059402589445,0.71794118336416,INCOMING,True,False,1.696784796048064,1.696784796048064,0.9798069648529203
F+0.300_L-0.300,0.3,-0.3,2,84.06699983966516,1.0007976171388708,64.6402524457645,0.7695268148305298,INCOMING,True,False,3.469929216074192,3.469929216074192,0.958724241108971
F+0.300_L-0.200,0.3,-0.2,2,84.01488759600889,1.00017723328582,64.88950793634723,0.7724941420993717,INCOMING,True,False,1.7773985143384436,1.7773985143384436,0.9788442433811828
F+0.300_L-0.100,0.3,-0.1,0,84.00521039797927,1.0000620285473723,65.96184697751572,0.7852600830656633,INCOMING,True,False,1.7732635948993476,1.7732635948993405,0.9788910284671819
