viewpoint_id,branch_eval,forward_ratio_W,lateral_ratio_W,distance_ratio_W,topology_state,near_boundary_visible_eval,far_opposite_boundary_visible_eval,near_endpoint_error_eval,far_opposite_endpoint_error_eval
F+0.100_L+0.000,RIGHT,0.1,0.0,0.1,PARTIAL_GAP_TOPOLOGY,True,False,5.159817157629875,84.78003286308007
F+0.100_L+0.100,LEFT,0.1,0.1,0.1414213562373095,PARTIAL_GAP_TOPOLOGY,True,False,6.558672734004872,86.2694802292933
F+0.100_L+0.100,RIGHT,0.1,0.1,0.1414213562373095,PARTIAL_GAP_TOPOLOGY,True,False,6.66870188605604,86.38488343577048
F+0.100_L+0.200,LEFT,0.1,0.2,0.223606797749979,PARTIAL_GAP_TOPOLOGY,True,False,4.080425203647559,83.58059797598139
F+0.100_L+0.200,RIGHT,0.1,0.2,0.223606797749979,PARTIAL_GAP_TOPOLOGY,True,False,3.4637145112775465,82.8520959270234
F+0.100_L+0.300,LEFT,0.1,0.3,0.31622776601683794,PARTIAL_GAP_TOPOLOGY,True,False,2.906088460429334,82.13275433222458
F+0.100_L+0.300,RIGHT,0.1,0.3,0.31622776601683794,PARTIAL_GAP_TOPOLOGY,True,False,9.613342148494764,89.42536453388949
F+0.100_L+0.400,LEFT,0.1,0.4,0.41231056256176607,PARTIAL_GAP_TOPOLOGY,True,False,5.692821453291265,85.35337105883684
F+0.100_L+0.400,RIGHT,0.1,0.4,0.41231056256176607,NO_GAP_TOPOLOGY,False,False,28.546928387891352,108.49521768683378
F+0.200_L-0.500,LEFT,0.2,-0.5,0.5385164807134504,NO_GAP_TOPOLOGY,False,False,62.35893331206384,117.82864496976144
F+0.200_L-0.500,RIGHT,0.2,-0.5,0.5385164807134504,PARTIAL_GAP_TOPOLOGY,True,False,5.02914500838592,84.63799132428697
F+0.200_L-0.400,LEFT,0.2,-0.4,0.447213595499958,NO_GAP_TOPOLOGY,False,False,13.336378459800544,93.20702000246037
F+0.200_L-0.400,RIGHT,0.2,-0.4,0.447213595499958,PARTIAL_GAP_TOPOLOGY,True,False,5.169167176001277,84.7901713826044
F+0.200_L-0.300,LEFT,0.2,-0.3,0.3605551275463989,PARTIAL_GAP_TOPOLOGY,True,False,8.850195656779801,88.64381575051672
F+0.200_L-0.300,RIGHT,0.2,-0.3,0.3605551275463989,PARTIAL_GAP_TOPOLOGY,True,False,3.1967058497278975,82.51801860624555
F+0.200_L-0.200,LEFT,0.2,-0.2,0.282842712474619,PARTIAL_GAP_TOPOLOGY,True,False,8.013534406513608,87.78273066249056
F+0.200_L-0.200,RIGHT,0.2,-0.2,0.282842712474619,PARTIAL_GAP_TOPOLOGY,True,False,5.0793779760969775,84.69267373250365
F+0.200_L-0.100,LEFT,0.2,-0.1,0.223606797749979,PARTIAL_GAP_TOPOLOGY,True,False,4.318579837479101,83.85140417153153
F+0.200_L-0.100,RIGHT,0.2,-0.1,0.223606797749979,PARTIAL_GAP_TOPOLOGY,True,False,4.900843579455655,84.49785044704458
F+0.200_L+0.000,LEFT,0.2,0.0,0.2,PARTIAL_GAP_TOPOLOGY,True,False,2.900595062187203,82.1251783553089
F+0.200_L+0.000,RIGHT,0.2,0.0,0.2,PARTIAL_GAP_TOPOLOGY,True,False,5.920954538099005,85.59631248644901
F+0.200_L+0.100,LEFT,0.2,0.1,0.223606797749979,PARTIAL_GAP_TOPOLOGY,True,False,5.947860535161143,85.62488254644443
F+0.200_L+0.100,RIGHT,0.2,0.1,0.223606797749979,PARTIAL_GAP_TOPOLOGY,True,False,4.017887713286037,83.50869430128974
F+0.200_L+0.200,LEFT,0.2,0.2,0.282842712474619,PARTIAL_GAP_TOPOLOGY,True,False,3.3532045024587505,82.71564712344724
F+0.200_L+0.200,RIGHT,0.2,0.2,0.282842712474619,PARTIAL_GAP_TOPOLOGY,True,False,8.7099762747714,88.4998470262658
F+0.200_L+0.300,LEFT,0.2,0.3,0.3605551275463989,PARTIAL_GAP_TOPOLOGY,True,False,4.8633825221541525,84.4567969191634
F+0.200_L+0.300,RIGHT,0.2,0.3,0.3605551275463989,NO_GAP_TOPOLOGY,False,False,10.85034003344793,90.68647785457657
F+0.200_L+0.400,LEFT,0.2,0.4,0.447213595499958,PARTIAL_GAP_TOPOLOGY,True,False,4.252068151849262,83.77622026862898
F+0.200_L+0.400,RIGHT,0.2,0.4,0.447213595499958,NO_GAP_TOPOLOGY,False,False,20.176153761996893,100.09676478866734
F+0.300_L-0.500,LEFT,0.3,-0.5,0.5830951894845301,NO_GAP_TOPOLOGY,False,False,53.963927200982326,116.24087655106264
F+0.300_L-0.500,RIGHT,0.3,-0.5,0.5830951894845301,PARTIAL_GAP_TOPOLOGY,True,False,3.1156297552728884,82.41323547440285
F+0.300_L-0.400,LEFT,0.3,-0.4,0.5,PARTIAL_GAP_TOPOLOGY,True,False,5.186673669593101,84.80914556267425
F+0.300_L-0.400,RIGHT,0.3,-0.4,0.5,PARTIAL_GAP_TOPOLOGY,True,False,3.2865961793265845,82.63221685193572
F+0.300_L-0.300,LEFT,0.3,-0.3,0.4242640687119285,PARTIAL_GAP_TOPOLOGY,True,False,7.422295489827223,87.1707063201328
F+0.300_L-0.300,RIGHT,0.3,-0.3,0.4242640687119285,PARTIAL_GAP_TOPOLOGY,True,False,4.2871916146289974,83.8159638199774
F+0.300_L-0.200,LEFT,0.3,-0.2,0.3605551275463989,PARTIAL_GAP_TOPOLOGY,True,False,4.986808921880598,84.59182567245554
F+0.300_L-0.200,RIGHT,0.3,-0.2,0.3605551275463989,PARTIAL_GAP_TOPOLOGY,True,False,3.5944241171427898,83.01071438041262
F+0.300_L-0.100,LEFT,0.3,-0.1,0.31622776601683794,PARTIAL_GAP_TOPOLOGY,True,False,4.688995714951952,84.26480875972516
F+0.300_L-0.100,RIGHT,0.3,-0.1,0.31622776601683794,PARTIAL_GAP_TOPOLOGY,True,False,3.863423676317416,83.3294610469329
F+0.300_L+0.000,LEFT,0.3,0.0,0.3,PARTIAL_GAP_TOPOLOGY,True,False,5.61281498492048,85.26785497760025
F+0.300_L+0.000,RIGHT,0.3,0.0,0.3,PARTIAL_GAP_TOPOLOGY,True,False,5.430537183865578,85.07234757658715
F+0.300_L+0.100,LEFT,0.3,0.1,0.31622776601683794,PARTIAL_GAP_TOPOLOGY,True,False,4.536750700522849,84.09589905973009
F+0.300_L+0.100,RIGHT,0.3,0.1,0.31622776601683794,PARTIAL_GAP_TOPOLOGY,True,False,5.02346371841042,84.63180041157513
F+0.300_L+0.200,LEFT,0.3,0.2,0.3605551275463989,PARTIAL_GAP_TOPOLOGY,True,False,4.644960547353135,84.21608508035077
F+0.300_L+0.200,RIGHT,0.3,0.2,0.3605551275463989,PARTIAL_GAP_TOPOLOGY,True,False,6.1455628353116385,85.83432292976349
F+0.300_L+0.300,LEFT,0.3,0.3,0.4242640687119285,PARTIAL_GAP_TOPOLOGY,True,False,3.1147412926657263,82.41207698812418
F+0.300_L+0.300,RIGHT,0.3,0.3,0.4242640687119285,PARTIAL_GAP_TOPOLOGY,True,False,3.021192351471673,82.2887294230003
F+0.300_L+0.400,LEFT,0.3,0.4,0.5,PARTIAL_GAP_TOPOLOGY,True,False,5.005158474462665,84.61184415496125
F+0.300_L+0.400,RIGHT,0.3,0.4,0.5,NO_GAP_TOPOLOGY,False,False,11.846824083782373,91.69859530768257
F+0.400_L-0.500,LEFT,0.4,-0.5,0.6403124237432849,NO_GAP_TOPOLOGY,False,False,45.57076161408117,116.29174997275017
F+0.400_L-0.500,RIGHT,0.4,-0.5,0.6403124237432849,PARTIAL_GAP_TOPOLOGY,True,False,3.170988152052624,82.48497506652123
F+0.400_L-0.400,LEFT,0.4,-0.4,0.565685424949238,PARTIAL_GAP_TOPOLOGY,True,False,7.128395145750086,86.86510423416694
F+0.400_L-0.400,RIGHT,0.4,-0.4,0.565685424949238,PARTIAL_GAP_TOPOLOGY,True,False,3.349958010968977,82.71160252949528
F+0.400_L-0.300,LEFT,0.4,-0.3,0.5,PARTIAL_GAP_TOPOLOGY,True,False,5.1083125501159135,84.72412600182302
F+0.400_L-0.300,RIGHT,0.4,-0.3,0.5,PARTIAL_GAP_TOPOLOGY,True,False,4.357229445387707,83.89494701806633
F+0.400_L-0.200,LEFT,0.4,-0.2,0.447213595499958,PARTIAL_GAP_TOPOLOGY,True,False,5.451350124618564,85.09472113253125
F+0.400_L-0.200,RIGHT,0.4,-0.2,0.447213595499958,PARTIAL_GAP_TOPOLOGY,True,False,3.9937987414937313,83.4809001791379
F+0.400_L-0.100,LEFT,0.4,-0.1,0.41231056256176607,PARTIAL_GAP_TOPOLOGY,True,False,3.871317893444793,83.33868172447573
F+0.400_L-0.100,RIGHT,0.4,-0.1,0.41231056256176607,PARTIAL_GAP_TOPOLOGY,True,False,4.699771106671236,84.27671581497754
F+0.400_L+0.000,LEFT,0.4,0.0,0.4,PARTIAL_GAP_TOPOLOGY,True,False,3.9022448866057875,83.37473997965023
F+0.400_L+0.000,RIGHT,0.4,0.0,0.4,PARTIAL_GAP_TOPOLOGY,True,False,4.007084947802416,83.49623681091978
F+0.400_L+0.100,LEFT,0.4,0.1,0.41231056256176607,PARTIAL_GAP_TOPOLOGY,True,False,5.065281128635075,84.67733839775897
F+0.400_L+0.100,RIGHT,0.4,0.1,0.41231056256176607,PARTIAL_GAP_TOPOLOGY,True,False,4.600798616509364,84.16711544636406
F+0.400_L+0.200,LEFT,0.4,0.2,0.447213595499958,PARTIAL_GAP_TOPOLOGY,True,False,4.797687829300795,84.38464556462154
F+0.400_L+0.200,RIGHT,0.4,0.2,0.447213595499958,PARTIAL_GAP_TOPOLOGY,True,False,3.19125235935222,82.51102613452994
F+0.400_L+0.300,LEFT,0.4,0.3,0.5,PARTIAL_GAP_TOPOLOGY,True,False,3.24762925126056,82.582950949928
F+0.400_L+0.300,RIGHT,0.4,0.3,0.5,PARTIAL_GAP_TOPOLOGY,True,False,8.635666595529338,88.42349850481946
F+0.400_L+0.400,LEFT,0.4,0.4,0.565685424949238,PARTIAL_GAP_TOPOLOGY,True,False,4.870739305257064,84.4648642350063
F+0.400_L+0.400,RIGHT,0.4,0.4,0.565685424949238,PARTIAL_GAP_TOPOLOGY,True,False,3.838919264119846,83.30079496407274
F+0.500_L-0.500,LEFT,0.5,-0.5,0.7071067811865476,NO_GAP_TOPOLOGY,False,False,37.18068301177247,117.14392692970664
F+0.500_L-0.500,RIGHT,0.5,-0.5,0.7071067811865476,PARTIAL_GAP_TOPOLOGY,True,False,4.610278954908497,84.1776369745921
F+0.500_L-0.400,LEFT,0.5,-0.4,0.6403124237432849,PARTIAL_GAP_TOPOLOGY,True,False,6.885049999950543,86.61125941853146
F+0.500_L-0.400,RIGHT,0.5,-0.4,0.6403124237432849,PARTIAL_GAP_TOPOLOGY,True,False,4.710527714955006,84.28859609509988
F+0.500_L-0.300,LEFT,0.5,-0.3,0.5830951894845301,PARTIAL_GAP_TOPOLOGY,True,False,6.3390471927683345,86.03852237771278
F+0.500_L-0.300,RIGHT,0.5,-0.3,0.5830951894845301,PARTIAL_GAP_TOPOLOGY,True,False,3.5938056316222275,83.00997021427219
F+0.500_L-0.200,LEFT,0.5,-0.2,0.5385164807134504,PARTIAL_GAP_TOPOLOGY,True,False,4.485936787931725,84.03922565240383
F+0.500_L-0.200,RIGHT,0.5,-0.2,0.5385164807134504,PARTIAL_GAP_TOPOLOGY,True,False,3.419541145800707,82.79783169901961
F+0.500_L-0.100,LEFT,0.5,-0.1,0.5099019513592785,PARTIAL_GAP_TOPOLOGY,True,False,4.690287202820802,84.26623620345536
F+0.500_L-0.100,RIGHT,0.5,-0.1,0.5099019513592785,PARTIAL_GAP_TOPOLOGY,True,False,4.2981298139671065,83.8283222075813
F+0.500_L+0.000,LEFT,0.5,0.0,0.5,PARTIAL_GAP_TOPOLOGY,True,False,3.9112193656829537,83.38518428519201
F+0.500_L+0.000,RIGHT,0.5,0.0,0.5,PARTIAL_GAP_TOPOLOGY,True,False,4.2779631551200605,83.80553034086985
F+0.500_L+0.100,LEFT,0.5,0.1,0.5099019513592785,PARTIAL_GAP_TOPOLOGY,True,False,4.458246419563006,84.00827552776256
F+0.500_L+0.100,RIGHT,0.5,0.1,0.5099019513592785,PARTIAL_GAP_TOPOLOGY,True,False,3.1798661499782326,82.49640171885528
F+0.500_L+0.200,LEFT,0.5,0.2,0.5385164807134504,PARTIAL_GAP_TOPOLOGY,True,False,4.020605448082857,83.51182658728139
F+0.500_L+0.200,RIGHT,0.5,0.2,0.5385164807134504,PARTIAL_GAP_TOPOLOGY,True,False,3.344099840593522,82.70429871276252
F+0.500_L+0.300,LEFT,0.5,0.3,0.5830951894845301,PARTIAL_GAP_TOPOLOGY,True,False,4.609462480747504,84.1767310280008
F+0.500_L+0.300,RIGHT,0.5,0.3,0.5830951894845301,PARTIAL_GAP_TOPOLOGY,True,False,5.958059791056314,85.63570828104804
F+0.500_L+0.400,LEFT,0.5,0.4,0.6403124237432849,PARTIAL_GAP_TOPOLOGY,True,False,4.030297161132336,83.52299097745876
F+0.500_L+0.400,RIGHT,0.5,0.4,0.6403124237432849,PARTIAL_GAP_TOPOLOGY,True,False,7.851997523482448,87.61584412669329
F+0.600_L-0.500,LEFT,0.6,-0.5,0.7810249675906654,NO_GAP_TOPOLOGY,False,False,28.79638977990815,108.74524583468897
F+0.600_L-0.500,RIGHT,0.6,-0.5,0.7810249675906654,PARTIAL_GAP_TOPOLOGY,True,False,3.2798354954271836,82.62369441120353
F+0.600_L-0.400,LEFT,0.6,-0.4,0.7211102550927978,PARTIAL_GAP_TOPOLOGY,True,False,5.123462449960898,84.74058124911286
