frame,time,map_case,left_wall_range,right_wall_range,width_observation,estimated_corridor_width,estimated_offset,corridor_model_initialized,corridor_model_update_enabled,corridor_model_frozen,opening_candidate_count,opening_group_count,junction_detected,opening_groups_json,leader_speed,lidar_x_eval,lidar_y_eval,GT_corridor_width_eval_only,GT_phase_eval_only,GT_opening_within_sensor_range_eval_only,profile_max_error,nan_inf_state_count
384,6.416666666666649,M0_STRAIGHT,40.21244066236098,43.78755933763902,84.0,84.0,1.787559337639017,True,True,False,0,0,False,[],38.23639462081741,-1.7875593376390193,241.3577551664051,84.0,CORRIDOR_ONLY,False,1.9895196601282805e-13,0
390,6.516666666666649,M0_STRAIGHT,40.212552482196514,43.787447517803486,84.0,84.0,1.7874475178034857,True,True,False,0,0,False,[],38.335770527377335,-1.7874475178034857,245.18943718076991,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
396,6.6166666666666485,M0_STRAIGHT,40.21260122254803,43.78739877745197,84.0,84.0,1.787398777451969,True,True,False,0,0,False,[],38.17504241800589,-1.7873987774519684,249.01538753657567,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
402,6.716666666666648,M0_STRAIGHT,40.212589608105354,43.787410391894646,84.0,84.0,1.787410391894646,True,True,False,0,0,False,[],37.88159547148333,-1.787410391894646,252.81621117911718,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
408,6.816666666666648,M0_STRAIGHT,40.21255027470495,43.78744972529505,84.0,84.0,1.7874497252950476,True,True,False,0,0,False,[],37.59122899568063,-1.7874497252950463,256.58694124051084,84.0,CORRIDOR_ONLY,False,2.5579538487363607e-13,0
414,6.916666666666647,M0_STRAIGHT,40.21242136632439,43.78757863367561,84.0,84.0,1.7875786336756079,True,True,False,0,0,False,[],37.44122643330115,-1.7875786336756088,260.3355706696991,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
420,7.016666666666647,M0_STRAIGHT,40.21211886453004,43.78788113546996,84.0,84.0,1.7878811354699593,True,True,False,0,0,False,[],37.516845338198756,-1.7878811354699566,264.082457608627,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
426,7.116666666666647,M0_STRAIGHT,40.21177382278751,43.78822617721249,84.0,84.0,1.7882261772124934,True,True,False,0,0,False,[],37.73205863554054,-1.7882261772124899,267.84606102970645,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
432,7.216666666666646,M0_STRAIGHT,40.21142696995899,43.78857303004101,84.0,84.0,1.7885730300410074,True,True,False,0,0,False,[],37.965114071153586,-1.7885730300410063,271.63321966582424,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
438,7.316666666666646,M0_STRAIGHT,40.21110501539336,43.78889498460664,84.0,84.0,1.7888949846066424,True,True,False,0,0,False,[],38.09426310535734,-1.7888949846066415,275.43856546809167,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
