map_case,frame,timestamp,profile_junction_detected,junction_detection_latched,active_junction_phase,active_viewpoint_state,viewpoint_scan_index,viewpoint_step_fraction,viewpoint_step_target,viewpoint_step_progress,viewpoint_cumulative_advance,trusted_corridor_width,trusted_corridor_orientation_deg,trusted_corridor_sign_source,local_forward_propulsion_active,leader_braking_active,leader_speed,follower_mean_speed,stationary_dwell_steps,provisional_fixed_anchor,pointcloud_ready,pointcloud_called,pointcloud_call_count,pointcloud_opening_count,min_inter_robot_distance,overlap_pair_count,wall_contact_count,outside_free_space_robot_count,nan_inf_state_count,max_speed,leader_connected,leader_communication_connected,leader_connected_component_size,leader_to_front_pack_gap,normalized_leader_gap,leader_displacement_since_detection_eval,anchor_x_eval,anchor_y_eval,gt_phase
M1_CROSS_BASELINE,144,2.416666666666663,True,True,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,2,0.1,8.4,0.0,18.91954079655875,84.0,0.0,PRE_HOLD_LOCAL_MOTION,True,False,0.0,4.156836812366832,0,False,False,True,2,2,2.8943862421903743,0,7048,0,0,14.426768283185204,True,True,680,7.733596227079723,0.20459249277988686,39.06326694776767,-2.0127517523848133,-133.82930897371347,CORRIDOR
M1_CROSS_BASELINE,150,2.5166666666666626,True,True,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,2,0.1,8.4,0.6531773209320022,19.57271811749075,84.0,0.0,PRE_HOLD_LOCAL_MOTION,True,False,13.325419659364544,4.048904286891622,0,False,False,False,2,2,2.880497474713708,0,7411,0,0,13.509032925971566,True,True,680,7.537728556812771,0.19941080838129027,39.71680443269031,-2.0127517523848133,-133.82930897371347,CORRIDOR
M1_CROSS_BASELINE,156,2.6166666666666623,True,True,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,2,0.1,8.4,3.0360532358564853,21.955594032415235,84.0,0.0,PRE_HOLD_LOCAL_MOTION,True,False,30.98088106035662,3.9619067983155056,0,False,False,False,2,2,2.873623898871606,0,7785,0,0,30.98088106035662,True,True,680,8.163595640997896,0.215968138650738,42.10015191197635,-2.0127517523848133,-133.82930897371347,CORRIDOR
M1_CROSS_BASELINE,162,2.716666666666662,True,True,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,2,0.1,8.4,6.921419251340623,25.840960047899372,84.0,0.0,PRE_HOLD_LOCAL_MOTION,True,False,43.47448818522173,3.8933187351175507,0,False,False,False,2,2,2.869061622370439,0,8168,0,0,43.47448818522173,True,True,680,9.900317236825332,0.2619131544133686,45.98556409748895,-2.0127517523848133,-133.82930897371347,CORRIDOR
M1_CROSS_BASELINE,168,2.8166666666666615,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,2,0.1,8.4,8.430061210971246,30.35396010747428,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,43.66387439782541,3.835320512874197,0,False,False,False,2,2,2.8572086749419054,0,8562,0,0,43.66387439782541,True,True,680,12.734791082850178,0.33689923499603647,50.498422903423894,-2.0127517523848133,-133.82930897371347,CORRIDOR
M1_CROSS_BASELINE,174,2.916666666666661,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,2,0.1,8.4,8.430061210971246,34.087168584186884,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,32.195326328908116,3.7784954375899336,0,False,False,False,2,2,2.867945031729323,0,8958,0,0,32.195326328908116,True,True,680,15.092221308690824,0.39926511398652975,54.23149652439731,-2.0127517523848133,-133.82930897371347,CORRIDOR
M1_CROSS_BASELINE,180,3.016666666666661,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,2,0.1,8.4,8.430061210971246,36.58261920896216,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,20.078775059152576,3.7265206483576407,0,False,False,False,2,2,2.902420667045643,0,9356,0,0,20.078775059152576,False,True,680,inf,inf,56.72686095776739,-2.0127517523848133,-133.82930897371347,CORRIDOR
M1_CROSS_BASELINE,186,3.1166666666666605,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,2,0.1,8.4,8.430061210971246,38.032871314806584,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,11.01309596699287,3.6825141464982667,0,False,False,False,2,2,2.9335140344542943,0,9758,0,0,11.243771040503926,False,True,680,inf,inf,58.17706585935594,-2.0127517523848133,-133.82930897371347,CORRIDOR
M1_CROSS_BASELINE,192,3.21666666666666,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,2,0.1,8.4,8.430061210971246,38.77663233969341,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,5.304980700021377,3.6479070002849228,0,False,False,False,2,2,2.9533634937853668,0,10160,0,0,10.898833202908037,False,True,680,inf,inf,58.9208037243221,-2.0127517523848133,-133.82930897371347,CORRIDOR
M1_CROSS_BASELINE,198,3.3166666666666598,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,2,0.1,8.4,8.430061210971246,39.106248332010026,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,2.1476620412493235,3.6070211635929557,0,False,False,False,2,2,2.9819674681277886,0,10573,0,0,10.59590421073066,False,True,680,inf,inf,59.25040973011981,-2.0127517523848133,-133.82930897371347,CORRIDOR
