map_case,frame,timestamp,profile_junction_detected,junction_detection_latched,active_junction_phase,active_viewpoint_state,viewpoint_scan_index,viewpoint_step_fraction,viewpoint_step_target,viewpoint_step_progress,viewpoint_cumulative_advance,trusted_corridor_width,trusted_corridor_orientation_deg,trusted_corridor_sign_source,local_forward_propulsion_active,leader_braking_active,leader_speed,follower_mean_speed,stationary_dwell_steps,provisional_fixed_anchor,pointcloud_ready,pointcloud_called,pointcloud_call_count,pointcloud_opening_count,min_inter_robot_distance,overlap_pair_count,wall_contact_count,outside_free_space_robot_count,nan_inf_state_count,max_speed,leader_communication_connected,leader_connected_component_size,leader_to_front_pack_gap,normalized_leader_gap,leader_displacement_since_detection_eval,anchor_x_eval,anchor_y_eval,gt_phase
M0_STRAIGHT,144,2.416666666666663,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,44.10209978617773,32.50754385128641,0,False,False,False,0,0,2.892593336257652,0,7048,0,0,46.46130741066949,True,680,10.890316441272743,0.28810360955748,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,150,2.5166666666666626,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,42.47535753187518,32.50751820664804,0,False,False,False,0,0,2.8834059890156665,0,7412,0,0,45.87036678165427,True,680,10.613477518375046,0.28077982852844036,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,156,2.6166666666666623,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,42.71315696066088,32.506663844243505,0,False,False,False,0,0,2.8739879591072284,0,7785,0,0,45.525704930235236,True,680,10.36748026203411,0.274271964604077,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,162,2.716666666666662,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,43.951357373388205,32.50605242991317,0,False,False,False,0,0,2.8735254666227488,0,8169,0,0,45.15190786722197,True,680,10.293256025175102,0.2723083604543678,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,168,2.8166666666666615,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,45.094084694588375,32.50585276924894,0,False,False,False,0,0,2.8597399884804156,0,8564,0,0,45.094084694588375,True,680,10.407770496350977,0.27533784381880894,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,174,2.916666666666661,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,45.40340591149199,32.505900762817696,0,False,False,False,0,0,2.8651240098407675,0,8959,0,0,45.40340591149199,True,680,10.652030838753722,0.2817997576389874,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,180,3.016666666666661,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,44.556286406736405,32.50584977025762,0,False,False,False,0,0,2.8964184769093833,0,9359,0,0,44.556286406736405,True,680,10.940132654843387,0.28942149880538065,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,186,3.1166666666666605,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,42.71949513612272,32.50596690292634,0,False,False,False,0,0,2.934264070816014,0,9761,0,0,43.630083423124795,True,680,11.154602650108144,0.29509530820391916,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,192,3.21666666666666,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,40.52893943303099,32.50547041002394,0,False,False,False,0,0,2.9551241834553226,0,10164,0,0,43.29676925945555,True,680,11.204956219068526,0.2964274132028711,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,198,3.3166666666666598,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,38.8703979211037,32.50528382206755,0,False,False,False,0,0,2.969323921383824,0,10575,0,0,43.0005037833452,True,680,11.082851732572049,0.29319713578232937,0.0,nan,nan,CORRIDOR_ONLY
