frame,timestamp,active_viewpoint_state,viewpoint_scan_index,min_inter_robot_distance,overlap_pair_count,wall_contact_count,outside_free_space_robot_count,nan_inf_state_count,max_speed,follower_mean_speed,leader_connected,leader_communication_connected,leader_connected_component_size,leader_to_front_pack_gap
120,2.0166666666666644,VIEWPOINT_REBRAKING,1,2.9286786691262288,0,5614,0,0,18.500632934896046,4.971610178419997,True,True,680,9.425224122345202
126,2.116666666666664,VIEWPOINT_REBRAKING,1,2.9181037974576154,0,5968,0,0,16.30525800092103,4.724530461575169,True,True,680,9.229639012546704
132,2.2166666666666637,VIEWPOINT_REBRAKING,1,2.906776298352597,0,6327,0,0,15.685056592436094,4.501598918384351,True,True,680,8.773782018293344
138,2.3166666666666633,VIEWPOINT_REBRAKING,1,2.8959323516018065,0,6687,0,0,15.31533135252598,4.309564017099917,True,True,680,8.239801364169747
144,2.416666666666663,VIEWPOINT_ADVANCE,2,2.8943862421903743,0,7048,0,0,14.426768283185204,4.156836812366832,True,True,680,7.733596227079723
150,2.5166666666666626,VIEWPOINT_ADVANCE,2,2.880497474713708,0,7411,0,0,13.509032925971566,4.048904286891622,True,True,680,7.537728556812771
156,2.6166666666666623,VIEWPOINT_ADVANCE,2,2.873623898871606,0,7785,0,0,30.98088106035662,3.9619067983155056,True,True,680,8.163595640997896
162,2.716666666666662,VIEWPOINT_ADVANCE,2,2.869061622370439,0,8168,0,0,43.47448818522173,3.8933187351175507,True,True,680,9.900317236825332
168,2.8166666666666615,VIEWPOINT_REBRAKING,2,2.8572086749419054,0,8562,0,0,43.66387439782541,3.835320512874197,True,True,680,12.734791082850178
174,2.916666666666661,VIEWPOINT_REBRAKING,2,2.867945031729323,0,8958,0,0,32.195326328908116,3.7784954375899336,True,True,680,15.092221308690824
180,3.016666666666661,VIEWPOINT_REBRAKING,2,2.902420667045643,0,9356,0,0,20.078775059152576,3.7265206483576407,False,True,680,inf
186,3.1166666666666605,VIEWPOINT_REBRAKING,2,2.9335140344542943,0,9758,0,0,11.243771040503926,3.6825141464982667,False,True,680,inf
192,3.21666666666666,VIEWPOINT_REBRAKING,2,2.9533634937853668,0,10160,0,0,10.898833202908037,3.6479070002849228,False,True,680,inf
198,3.3166666666666598,VIEWPOINT_REBRAKING,2,2.9819674681277886,0,10573,0,0,10.59590421073066,3.6070211635929557,False,True,680,inf
204,3.4166666666666594,VIEWPOINT_REBRAKING,2,2.984449759676743,0,10987,0,0,10.846775341642035,3.5808806276666907,False,True,680,inf
210,3.516666666666659,VIEWPOINT_ADVANCE,3,2.9839031900785096,0,11406,0,0,10.619836690227459,3.565794304538401,True,True,680,15.045997865305976
216,3.6166666666666587,VIEWPOINT_ADVANCE,3,2.984024153983247,0,11826,0,0,9.832710280182923,3.552021853502276,True,True,680,14.632261605010738
222,3.7166666666666583,VIEWPOINT_ADVANCE,3,2.984056644912295,0,12246,0,0,14.8152176346877,3.5461846826534966,True,True,680,14.683981995142174
228,3.816666666666658,VIEWPOINT_ADVANCE,3,2.984145793806213,0,12666,0,0,22.268707582458855,3.550037844012553,True,True,680,15.273114241362434
234,3.9166666666666576,VIEWPOINT_ADVANCE,3,2.9871191945142415,0,13089,0,0,27.27712784710342,3.5599469522373894,False,True,680,inf
