viewpoint_id,viewpoint_role,branch_eval,beam_index,angle_body_deg,angle_corridor_deg,measured_range,smoothed_range,is_max_range,hit,hit_wall_id_eval,first_wall_distance_eval,raw_mouth_ray_eval,axis_related_eval,range_discontinuity,range_evidence,candidate_before_grouping,candidate_mask,candidate_run_id,candidate_group_id,group_accepted,wall_support,tangent_support,posthoc_wall_support_contribution_eval,final_opening_member,rejection_stage
F+0.600_L+0.000,PLUS90_FULL_MOUTH,MINUS90,208,28.0,28.0,150.0,150.0,True,False,6,163.4851841012217,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,PLUS90_FULL_MOUTH,MINUS90,209,29.0,29.0,150.0,150.0,True,False,6,165.04184457767548,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,PLUS90_FULL_MOUTH,MINUS90,210,30.0,30.0,150.0,150.0,True,False,6,166.679694544159,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,PLUS90_FULL_MOUTH,MINUS90,211,31.0,31.0,150.0,150.0,True,False,6,168.40218899161803,True,False,-15.608563503864787,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,PLUS90_FULL_MOUTH,MINUS90,212,32.0,32.0,150.0,134.3914364961352,True,False,6,170.21304619926468,True,False,-15.969456467588685,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,146,-34.0,-34.0,150.0,134.8904907131903,True,False,11,174.1161734387962,True,False,15.109509286809697,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,147,-33.0,-33.0,150.0,150.0,True,False,11,172.11626982916331,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,148,-32.0,-32.0,150.0,150.0,True,False,11,170.21304619926474,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,149,-31.0,-31.0,150.0,150.0,True,False,11,168.40218899161806,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,150,-30.0,-30.0,150.0,150.0,True,False,11,166.67969454415905,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,151,-29.0,-29.0,150.0,150.0,True,False,11,165.0418445776755,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,152,-28.0,-28.0,150.0,150.0,True,False,11,163.4851841012217,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,153,-27.0,-27.0,150.0,150.0,True,False,11,162.0065014695172,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,154,-26.0,-26.0,150.0,150.0,True,False,11,160.60281035976644,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,155,-25.0,-25.0,150.0,150.0,True,False,11,159.27133346415235,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,156,-24.0,-24.0,150.0,150.0,True,False,11,158.0094877191592,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,157,-23.0,-23.0,150.0,150.0,True,False,11,156.81487091445334,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,158,-22.0,-22.0,150.0,150.0,True,False,11,155.68524954278573,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,159,-21.0,-21.0,150.0,150.0,True,False,11,154.6185477686907,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,160,-20.0,-20.0,150.0,150.0,True,False,11,153.6128374079884,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,161,-19.0,-19.0,150.0,150.0,True,False,11,152.6663288225477,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,162,-18.0,-18.0,150.0,150.0,True,False,11,151.7773626456859,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,PLUS90,163,-17.0,-17.0,150.0,150.0,True,False,11,150.94440226317542,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
F+0.600_L+0.000,MINUS90_FULL_MOUTH,MINUS90,195,15.0,15.0,150.0,150.0,True,False,5,155.46748416834967,True,False,0.0,True,True,True,0,0,True,N/A_NOT_IN_DETECTOR_PIPELINE,N/A_NOT_IN_DETECTOR_PIPELINE,False,True,AXIS_NOT_SUPPORTED_BY_ACCEPTED_GROUP
