frame,time,map_case,lidar_x_eval,lidar_y_eval,corridor_width,max_range,local_lateral_offset,opening_group_count,junction_detected,detector_state,leader_speed,measured_profile_summary,expected_profile_summary,max_abs_valid_profile_delta,GT_phase_eval_only,nan_inf_state_count,noise_std,dropout,occlusion
180,3.016666666666661,M0_STRAIGHT,-1.7763053486121918,109.45506894704783,84.0,150.0,1.7763053486121905,0,False,LIDAR_PROFILE_CLEAR,44.556286406736405,"{""min"":40.22369465138781,""mean"":79.10634140884908,""max"":150.0}","{""min"":40.22369465138781,""mean"":79.10634140884909,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
186,3.1166666666666605,M0_STRAIGHT,-1.7773359063966423,113.80957910399403,84.0,150.0,1.7773359063966438,0,False,LIDAR_PROFILE_CLEAR,42.71949513612272,"{""min"":40.222664093603356,""mean"":79.10632063764045,""max"":150.0}","{""min"":40.222664093603356,""mean"":79.10632063764045,""max"":150.0}",2.5579538487363607e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
192,3.21666666666666,M0_STRAIGHT,-1.7780974651300132,117.95318532629179,84.0,150.0,1.7780974651300099,0,False,LIDAR_PROFILE_CLEAR,40.52893943303099,"{""min"":40.22190253486999,""mean"":79.1063052881903,""max"":150.0}","{""min"":40.22190253486999,""mean"":79.1063052881903,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
198,3.3166666666666598,M0_STRAIGHT,-1.7788896182740626,121.90150483178859,84.0,150.0,1.7788896182740643,0,False,LIDAR_PROFILE_CLEAR,38.8703979211037,"{""min"":40.221110381725936,""mean"":79.10628932210041,""max"":150.0}","{""min"":40.221110381725936,""mean"":79.10628932210041,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
204,3.4166666666666594,M0_STRAIGHT,-1.780214608898203,125.75042112398648,84.0,150.0,1.7802146088982056,0,False,LIDAR_PROFILE_CLEAR,38.39793047611437,"{""min"":40.219785391101794,""mean"":79.10626261650746,""max"":150.0}","{""min"":40.219785391101794,""mean"":79.10626261650746,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
210,3.516666666666659,M0_STRAIGHT,-1.7820036368407948,129.62239935892921,84.0,150.0,1.7820036368407983,0,False,LIDAR_PROFILE_CLEAR,39.07740772061906,"{""min"":40.2179963631592,""mean"":79.10622655809988,""max"":150.0}","{""min"":40.2179963631592,""mean"":79.10622655809988,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
216,3.6166666666666587,M0_STRAIGHT,-1.78376971827677,133.6003526861178,84.0,150.0,1.7837697182767727,0,False,LIDAR_PROFILE_CLEAR,40.30244679523329,"{""min"":40.21623028172323,""mean"":79.10619096218616,""max"":150.0}","{""min"":40.21623028172323,""mean"":79.10619096218616,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
222,3.7166666666666583,M0_STRAIGHT,-1.7849921799116564,137.69545301879418,84.0,150.0,1.7849921799116544,0,False,LIDAR_PROFILE_CLEAR,41.34835073387863,"{""min"":40.215007820088346,""mean"":79.1061663230965,""max"":150.0}","{""min"":40.215007820088346,""mean"":79.1061663230965,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
228,3.816666666666658,M0_STRAIGHT,-1.7857273273699539,141.85830959281765,84.0,150.0,1.7857273273699548,0,False,LIDAR_PROFILE_CLEAR,41.71010449085224,"{""min"":40.214272672630045,""mean"":79.1061515059737,""max"":150.0}","{""min"":40.214272672630045,""mean"":79.1061515059737,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
234,3.9166666666666576,M0_STRAIGHT,-1.7862025548956737,146.0056016400204,84.0,150.0,1.7862025548956737,0,False,LIDAR_PROFILE_CLEAR,41.182497721949744,"{""min"":40.213797445104326,""mean"":79.10614192761697,""max"":150.0}","{""min"":40.213797445104326,""mean"":79.10614192761697,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
