timestamp,phase,threshold,component_id,robot_count,centroid_x,centroid_y,centroid_range,centroid_bearing_deg,bearing_std_deg,spatial_span,forward_zero_count,front_cohort_count,retention_fraction,matched_previous_component_id,lifetime_samples,radial_rate
3.6166666666666587,SPH_OPENING_APPROACH,180,180-9,1,168.37914135435486,-36.700830318112246,172.3324873297797,-12.296179998606132,0.0,0.0,1,1,1.0,180-9,15,14.580993573480896
3.6166666666666587,SPH_OPENING_APPROACH,180,180-3,1,135.02177694786633,27.20817644203623,137.73585268716474,11.393072116577304,0.0,0.0,1,1,1.0,180-3,36,7.368849759719751
3.6166666666666587,SPH_OPENING_APPROACH,180,180-2,1,133.30254663806747,-107.43853526339112,171.20925150159698,-38.86794995486813,0.0,0.0,0,1,1.0,180-2,36,11.41273078804005
3.6166666666666587,SPH_OPENING_APPROACH,180,180-12,1,149.9799614947837,-89.51002085921475,174.65976263637216,-30.829310291377233,0.0,0.0,0,1,1.0,180-12,15,11.344704215076149
3.6166666666666587,SPH_OPENING_APPROACH,180,180-2,1,164.6119876082467,-70.85802503651384,179.21486036713804,-23.289694430100777,0.0,0.0,1,1,1.0,180-2,36,14.007767629107946
3.7166666666666583,SPH_OPENING_APPROACH,90,90-1,68,94.65104564537585,-36.463562561442366,101.43180879997774,-21.068782611870425,26.60389504833626,224.82353110070358,8,22,0.9855072463768116,90-1,37,8.872689831147653
3.7166666666666583,SPH_OPENING_APPROACH,90,90-1,64,6.707316761130638,-37.78987168363838,38.38049634905726,-79.93539722365229,41.10779714126504,76.80071165037855,0,0,1.0,90-1,37,-7.105427357601002e-14
3.7166666666666583,SPH_OPENING_APPROACH,120,120-1,64,6.707316761130638,-37.78987168363838,38.38049634905726,-79.93539722365229,41.10779714126504,76.80071165037855,0,0,1.0,120-1,37,-7.105427357601002e-14
3.7166666666666583,SPH_OPENING_APPROACH,120,120-1,61,95.75950695576901,-36.32965650344069,102.4193688423726,-20.775960505240857,27.109742120077506,224.82353110070358,8,21,0.9836065573770492,120-1,37,-1.0796391820410633
3.7166666666666583,SPH_OPENING_APPROACH,150,150-1,64,6.707316761130638,-37.78987168363838,38.38049634905726,-79.93539722365229,41.10779714126504,76.80071165037855,0,0,1.0,150-1,37,-7.105427357601002e-14
3.7166666666666583,SPH_OPENING_APPROACH,150,150-1,26,56.40938364900439,-37.54122638822657,67.7595915158337,-33.644315421377335,27.16272600969174,98.44080421917333,3,0,1.0,150-1,37,-1.7144438152529062
3.7166666666666583,SPH_OPENING_APPROACH,150,150-1,15,135.04070361408645,-88.80442372019866,161.62369041964152,-33.32941062840908,13.208173123881977,119.33694558949509,3,11,1.0,150-1,37,9.883751504198983
3.7166666666666583,SPH_OPENING_APPROACH,150,150-1,6,103.1156153606172,35.72300397002037,109.12819591581658,19.107948315693715,4.78117244471233,37.56464349332942,1,2,1.0,150-1,37,5.604063625456774
3.7166666666666583,SPH_OPENING_APPROACH,150,150-1,2,166.18894002677592,-8.682564241478055,166.41559635151603,-2.9907068329469397,1.8377934734821932,11.644959455743688,0,2,1.0,150-1,37,13.019386292952788
3.7166666666666583,SPH_OPENING_APPROACH,150,150-1,2,146.68063253848578,14.049642302570938,147.3519610005937,5.471321356418778,1.7195267249277404,11.505850330771864,0,2,1.0,150-1,37,7.19367439583408
3.7166666666666583,SPH_OPENING_APPROACH,150,150-1,1,134.47486852344989,33.03429771662155,138.4729399197891,13.801648280637634,0.0,0.0,1,1,1.0,150-1,37,7.370872326243614
3.7166666666666583,SPH_OPENING_APPROACH,180,180-1,64,6.707316761130638,-37.78987168363838,38.38049634905726,-79.93539722365229,41.10779714126504,76.80071165037855,0,0,1.0,180-1,37,-7.105427357601002e-14
