frame,time,profile_junction_detected,detection_latched,phase,forward_propulsion_enabled,leader_braking,leader_speed,stationary,stationary_dwell,stationary_dwell_target,anchor_active,pointcloud_ready,first_detection_time,detection_latch_time,hold_entry_time,braking_start_time,stationary_confirmation_time,anchor_entry_time,distance_since_detection_eval,distance_during_braking_eval,distance_since_anchor_eval,anchor_heading_drift_eval,leader_gap,connected_component_size,follower_mean_speed,follower_moving_fraction,mean_lateral_sph_force,lateral_span,min_robot_distance,overlap_pairs,max_speed,nan_inf_state_count,outside_free_space_robot_count,GT_phase_eval_only
186,3.1166666666666605,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.545216814171048,680,3.6345443983017782,0.7422680412371134,35.31743158642883,81.75989962389787,2.9303132741379554,0,11.289156655389222,0,0,CORRIDOR
192,3.21666666666666,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.568186021105934,680,3.5957315317424827,0.7319587628865979,35.23988794002869,81.75989962389787,2.9500701739987174,0,11.059092572351846,0,0,CORRIDOR
198,3.3166666666666598,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.573434220721921,680,3.54806960469751,0.7231222385861561,34.82465022676546,81.75989962389787,2.976735127725454,0,10.81844857543605,0,0,CORRIDOR
204,3.4166666666666594,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.565805434727168,680,3.512334923325512,0.7216494845360825,34.40947755461723,81.75989962389787,2.989063573033781,0,10.877984228237015,0,0,CORRIDOR
210,3.516666666666659,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.547033732201893,680,3.4808502812836903,0.7054491899852725,33.84284652650752,81.75989962389787,2.9888881027361984,0,10.678870432340057,0,0,CORRIDOR
216,3.6166666666666587,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.5160264373983185,680,3.4562392564038458,0.7172312223858616,33.420174691653486,81.75990584638933,2.9911642656969466,0,9.956116432069223,0,0,CORRIDOR
222,3.7166666666666583,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.471913313186375,680,3.437439081543485,0.7349042709867453,32.78247086348023,81.75990584638933,2.994221035942899,0,9.612239760880568,0,0,CORRIDOR
228,3.816666666666658,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.409125524583664,680,3.4314146015375586,0.748159057437408,32.32823075163848,81.75990584638933,2.9967114133124193,0,9.244156009804964,0,0,CORRIDOR
234,3.9166666666666576,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.318596426316305,680,3.440127691200676,0.7658321060382917,32.01689476038999,81.75990584638933,3.0026213913697584,0,8.926870879159567,0,0,CORRIDOR
240,4.016666666666658,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.197124394947295,680,3.4405216152513525,0.7687776141384389,31.72879936641695,81.75990584638933,3.0152653686656405,0,8.579380236909001,0,0,CORRIDOR
