map_case,frame,timestamp,profile_junction_detected,junction_detection_latched,braking_active,leader_speed,stationary_dwell_steps,provisional_fixed_anchor,pointcloud_ready,pointcloud_called,pointcloud_opening_count,primary_pointcloud_call_count,pointcloud_called_before_ready_count,anchor_entry_time,anchor_x_eval_only,anchor_y_eval_only,anchor_heading_local_deg,detection_to_anchor_distance_eval_only,anchor_drift_eval_only,GT_phase_eval_only,nan_inf,outside
M1_CROSS_BASELINE,294,4.9166666666666545,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,300,5.016666666666654,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,306,5.116666666666654,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,312,5.2166666666666535,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,318,5.316666666666653,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,324,5.416666666666653,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,330,5.516666666666652,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,336,5.616666666666652,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,342,5.716666666666652,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,348,5.816666666666651,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
