case_id,transform_deg,gap_id,endpoint_side,endpoint_id,endpoint_type,endpoint_valid,incident_segment_id,incident_segment_length,incident_segment_orientation_deg,gap_tangent_deg,signed_tangent_alignment,absolute_tangent_alignment,axial_alignment_error_deg,within_existing_axial_support_rule,existing_resolution_deg
M1_PRE_CORRIDOR_BOOTSTRAP,90,2,A,5,CORNER,True,4,81.83592562714058,0.015517385467262557,-90.00001146180963,-0.00027102951070294033,0.00027102951070294033,89.9844711527231,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,90,2,B,9,WALL_TERMINATION,True,5,138.16400070917513,90.0,-90.00001146180963,-0.99999999999998,0.99999999999998,1.1461809663160238e-05,True,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,180,0,A,3,CORNER,True,1,78.28056804509026,-90.00056190199717,-90.0503299592064,0.9999996227527458,0.9999996227527458,0.04976805720922073,True,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,180,0,A,3,CORNER,True,2,60.85647221581597,-180.0,-90.0503299592064,0.0008784233875767932,0.0008784233875767932,89.9496700407936,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,180,0,B,5,CORNER,True,3,57.80394906325273,-180.0,-90.0503299592064,0.0008784233875767932,0.0008784233875767932,89.9496700407936,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,180,0,B,5,CORNER,True,4,81.83592562714058,90.01551738546726,-90.0503299592064,-0.99999933960888,0.99999933960888,0.0658473446736707,True,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,180,1,A,3,CORNER,True,1,78.28056804509026,-90.00056190199717,-44.85041147442538,0.705251297527273,0.705251297527273,45.150150427571795,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,180,1,A,3,CORNER,True,2,60.85647221581597,-180.0,-44.85041147442538,-0.7089504922280346,0.7089504922280346,44.850411474425385,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,180,1,B,9,WALL_TERMINATION,True,5,138.16400070917513,-180.0,-44.85041147442538,-0.7089504922280346,0.7089504922280346,44.850411474425385,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,180,2,A,5,CORNER,True,3,57.80394906325273,-180.0,-1.1461809628780777e-05,-0.99999999999998,0.99999999999998,1.1461809634738529e-05,True,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,180,2,A,5,CORNER,True,4,81.83592562714058,90.01551738546726,-1.1461809628780777e-05,-0.00027102951070298706,0.00027102951070298706,89.9844711527231,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,180,2,B,9,WALL_TERMINATION,True,5,138.16400070917513,-180.0,-1.1461809628780777e-05,-0.99999999999998,0.99999999999998,1.1461809634738529e-05,True,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,270,0,A,3,CORNER,True,1,78.28056804509026,-0.0005619019971163652,-0.05032995920641326,0.9999996227527458,0.9999996227527458,0.04976805720929178,True,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,270,0,A,3,CORNER,True,2,60.85647221581597,-90.0,-0.05032995920641326,0.0008784233875770703,0.0008784233875770703,89.94967004079359,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,270,0,B,5,CORNER,True,3,57.80394906325273,-90.0,-0.05032995920641326,0.0008784233875770703,0.0008784233875770703,89.94967004079359,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,270,0,B,5,CORNER,True,4,81.83592562714058,-179.98448261453274,-0.05032995920641326,-0.99999933960888,0.99999933960888,0.0658473446736707,True,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,270,1,A,3,CORNER,True,1,78.28056804509026,-0.0005619019971163652,45.149588525574615,0.7052512975272736,0.7052512975272736,45.15015042757173,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,270,1,A,3,CORNER,True,2,60.85647221581597,-90.0,45.149588525574615,-0.7089504922280346,0.7089504922280346,44.850411474425385,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,270,1,B,9,WALL_TERMINATION,True,5,138.16400070917513,-90.0,45.149588525574615,-0.7089504922280346,0.7089504922280346,44.850411474425385,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,270,2,A,5,CORNER,True,3,57.80394906325273,-90.0,89.99998853819038,-0.99999999999998,0.99999999999998,1.146180960631682e-05,True,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,270,2,A,5,CORNER,True,4,81.83592562714058,-179.98448261453274,89.99998853819038,-0.0002710295107030328,0.0002710295107030328,89.98447115272313,False,20.0
M1_PRE_CORRIDOR_BOOTSTRAP,270,2,B,9,WALL_TERMINATION,True,5,138.16400070917513,-90.0,89.99998853819038,-0.99999999999998,0.99999999999998,1.146180960631682e-05,True,20.0
