ground_truth_count,detected_count,count_correct,matched_openings,false_positive,false_negative,precision,recall,f1,mean_iou,min_iou,center_mae_deg,start_mae_deg,end_mae_deg,boundary_mae_deg,expected_topology,detected_topology,topology_correct,failure_reasons,seed,way_count,noise_std_m,dropout_probability,occlusion_probability,visible_boundary_ratio,anchor_x,anchor_y,anchor_yaw_deg,condition
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,18,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,19,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,20,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,21,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,22,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,23,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,24,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,25,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.46235177177508907,0.4623517717750887,0.0,14.535691789412297,14.535691789412283,14.53569178941229,JUNCTION,JUNCTION,True,low_opening_iou,26,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,7,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,8,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,9,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,10,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,11,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,12,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,13,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,14,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,15,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,16,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,17,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
