ground_truth_count,detected_count,count_correct,matched_openings,false_positive,false_negative,precision,recall,f1,mean_iou,min_iou,center_mae_deg,start_mae_deg,end_mae_deg,boundary_mae_deg,expected_topology,detected_topology,topology_correct,failure_reasons,evaluation_boundary_definition,evaluation_free_path_threshold_m,physical_mouth_mean_iou,physical_mouth_boundary_mae_deg,seed,way_count,noise_std_m,dropout_probability,occlusion_probability,visible_boundary_ratio,anchor_x,anchor_y,anchor_yaw_deg,condition
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,12,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,13,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,14,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,15,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,16,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,17,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,18,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,19,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,20,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,21,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,22,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,23,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,24,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,25,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
3,3,True,3,0,0,1.0,1.0,1.0,0.8873041643437123,0.8873041643437122,9.473903143468002e-15,1.5876156140274038,1.587615614027366,1.587615614027385,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.109921353021991,0.3703814697878913,21.24898859588859,26,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,7,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,8,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,9,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,10,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,11,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,12,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,13,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,14,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,15,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,16,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,17,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,18,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,19,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,20,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,21,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,22,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,23,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,24,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,25,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
4,4,True,4,0,0,1.0,1.0,1.0,0.9260368840953028,0.9260368840953018,0.0,0.9983824237324512,0.9983824237324441,0.9983824237324477,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.289992923181831,0.46235177177508907,14.53569178941229,26,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.9805886642816845,0.9805886642816837,0.0,0.24744493314807983,0.24744493314807414,0.24744493314807697,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.537423067393879,0.5862025845595751,8.823686263497938,7,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.9805886642816845,0.9805886642816837,0.0,0.24744493314807983,0.24744493314807414,0.24744493314807697,JUNCTION,JUNCTION,True,NONE,ideal_free_path_sector,4.537423067393879,0.5862025845595751,8.823686263497938,8,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
