case,candidate_id,grid_stage,forward_ratio_W,lateral_ratio_W,distance_ratio_W,candidate_valid,plus90_axis_los_eval,minus90_axis_los_eval,plus90_mouth_visible_fraction_eval,minus90_mouth_visible_fraction_eval,plus90_detected_eval,minus90_detected_eval,forward_detected_eval,incoming_detected_eval,opening_count,outgoing_match_count_eval,outgoing_total_eval,false_opening_count_eval,axial_false_opening_count_eval,lateral_false_opening_count_eval
M1_CROSS_BASELINE,F+0.700_L-0.200,COARSE_0.10W,0.7,-0.2,0.7280109889280518,True,False,False,1.0,1.0,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.700_L-0.100,COARSE_0.10W,0.7,-0.1,0.7071067811865475,True,False,False,1.0,1.0,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.700_L+0.000,COARSE_0.10W,0.7,0.0,0.7,True,False,False,1.0,1.0,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.700_L+0.100,COARSE_0.10W,0.7,0.1,0.7071067811865475,True,False,False,1.0,1.0,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.700_L+0.200,COARSE_0.10W,0.7,0.2,0.7280109889280518,True,False,False,1.0,1.0,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.700_L+0.300,COARSE_0.10W,0.7,0.3,0.7615773105863908,True,False,False,1.0,1.0,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.700_L+0.400,COARSE_0.10W,0.7,0.4,0.8062257748298549,True,False,False,0.9047619047619048,1.0,False,False,True,True,2,1,3,0,0,0
M1_CROSS_BASELINE,F+0.700_L+0.500,COARSE_0.10W,0.7,0.5,0.8602325267042626,False,False,True,0.0,0.0,False,True,False,False,1,1,3,0,0,0
M1_CROSS_BASELINE,F+0.700_L+0.600,COARSE_0.10W,0.7,0.6,0.9219544457292886,False,False,True,0.0,0.0,False,True,False,False,1,1,3,0,0,0
M1_CROSS_BASELINE,F+0.700_L+0.700,COARSE_0.10W,0.7,0.7,0.9899494936611665,False,False,True,0.0,0.0,False,True,False,False,1,1,3,0,0,0
