case,candidate_id,grid_stage,forward_offset,lateral_offset,forward_ratio_W,lateral_ratio_W,distance_ratio_W,candidate_valid,candidate_inside_free_space_eval,robot_footprint_walkable_eval,robot_radius,wall_clearance_eval,straight_line_path_clear_eval,valid_lidar_hits,max_range_count,plus90_axis_los_eval,minus90_axis_los_eval,forward_axis_los_eval,incoming_axis_los_eval,plus90_mouth_visible_fraction_eval,minus90_mouth_visible_fraction_eval,forward_mouth_visible_fraction_eval,plus90_detected_eval,minus90_detected_eval,forward_detected_eval,incoming_detected_eval,opening_count,outgoing_match_count_eval,outgoing_total_eval,false_opening_count_eval,lateral_false_opening_count_eval,axial_false_opening_count_eval,opening_center_error_eval,opening_IoU_eval,wall_support_count,tangent_support_count
M1_CROSS_BASELINE,F+0.000_L+0.600,COARSE_0.10W,0.0,50.4,0.0,0.6,0.6,False,False,False,1.1199999999999999,10.162054203056464,False,219,141,False,True,False,True,0.0,0.0,0.0,False,False,True,False,1,1,3,0,0,0,89.5,0.0210884273290902,48,1
M1_CROSS_BASELINE,F+0.000_L+0.700,COARSE_0.10W,0.0,58.8,0.0,0.7,0.7,False,False,False,1.1199999999999999,18.562054203056462,False,215,145,False,True,False,True,0.0,0.0,0.0,False,False,True,False,1,1,3,0,0,0,89.0,0.02758066462619333,52,1
M1_CROSS_BASELINE,F+0.100_L-0.700,COARSE_0.10W,8.4,-58.8,0.1,-0.7,0.7071067811865475,False,False,False,1.1199999999999999,15.037945796943532,False,221,139,True,False,False,True,0.0,0.0,0.0,False,False,True,False,1,1,3,0,0,0,89.0,0.02692791185492537,55,1
M1_CROSS_BASELINE,F+0.100_L-0.600,COARSE_0.10W,8.4,-50.4,0.1,-0.6,0.6082762530298219,False,False,False,1.1199999999999999,6.637945796943534,False,224,136,True,False,False,True,0.0,0.0,0.0,False,False,True,False,1,1,3,0,0,0,89.5,0.016317558397234137,50,1
M1_CROSS_BASELINE,F+0.100_L-0.500,COARSE_0.10W,8.4,-42.0,0.1,-0.5,0.5099019513592785,True,True,True,1.1199999999999999,1.762054203056465,True,287,73,False,False,True,True,0.5714285714285714,0.2857142857142857,0.0,False,False,True,True,2,1,3,0,0,0,38.5,0.2998690459872326,91,2
M1_CROSS_BASELINE,F+0.100_L-0.400,COARSE_0.10W,8.4,-33.6,0.1,-0.4,0.41231056256176607,True,True,True,1.1199999999999999,10.162054203056464,True,286,74,False,False,True,True,0.5714285714285714,0.3333333333333333,0.0,False,False,True,True,2,1,3,0,0,0,24.5,0.3903586334476512,53,2
M1_CROSS_BASELINE,F+0.100_L-0.300,COARSE_0.10W,8.4,-25.2,0.1,-0.3,0.31622776601683794,True,True,True,1.1199999999999999,18.562054203056466,True,284,76,False,False,True,True,0.5714285714285714,0.38095238095238093,0.0,False,False,True,True,2,1,3,0,0,0,12.5,0.5058591677705175,21,2
M1_CROSS_BASELINE,F+0.100_L-0.200,COARSE_0.10W,8.4,-16.8,0.1,-0.2,0.223606797749979,True,True,True,1.1199999999999999,26.962054203056468,True,283,77,False,False,True,True,0.5238095238095238,0.42857142857142855,0.0,False,False,True,True,2,1,3,0,0,0,7.5,0.531521224839493,12,2
M1_CROSS_BASELINE,F+0.100_L-0.100,COARSE_0.10W,8.4,-8.4,0.1,-0.1,0.1414213562373095,True,True,True,1.1199999999999999,35.362054203056466,True,283,77,False,False,True,True,0.5238095238095238,0.47619047619047616,0.0,False,False,True,True,2,1,3,0,0,0,3.0,0.523236178226047,10,2
M1_CROSS_BASELINE,F+0.100_L+0.000,COARSE_0.10W,8.4,0.0,0.1,0.0,0.1,True,True,True,1.1199999999999999,40.237945796943535,True,283,77,False,False,True,True,0.47619047619047616,0.5238095238095238,0.0,False,False,True,True,2,1,3,0,0,0,1.0,0.5238158040810506,10,2
M1_CROSS_BASELINE,F+0.100_L+0.100,COARSE_0.10W,8.4,8.4,0.1,0.1,0.1414213562373095,True,True,True,1.1199999999999999,31.837945796943533,True,282,78,False,False,True,True,0.47619047619047616,0.5238095238095238,0.0,False,False,True,True,2,1,3,0,0,0,5.0,0.522400426337977,10,2
M1_CROSS_BASELINE,F+0.100_L+0.200,COARSE_0.10W,8.4,16.8,0.1,0.2,0.223606797749979,True,True,True,1.1199999999999999,23.437945796943534,True,285,75,False,False,True,True,0.42857142857142855,0.5714285714285714,0.0,False,False,True,True,2,1,3,0,0,0,9.0,0.5411059908217672,16,2
M1_CROSS_BASELINE,F+0.100_L+0.300,COARSE_0.10W,8.4,25.2,0.1,0.3,0.31622776601683794,True,True,True,1.1199999999999999,15.037945796943536,True,285,75,False,False,True,True,0.38095238095238093,0.5714285714285714,0.0,False,False,True,True,2,1,3,0,0,0,19.0,0.42666994376586503,41,2
