case_id,frame,time,side_walls_valid,parallel_error_deg,current_width,current_offset,current_orientation,stable_width,stable_offset,stable_orientation,stable_update_count,current_model_valid,stable_model_initialized,width_change_from_previous_valid,orientation_change_from_previous_valid,offset_change_from_previous_valid,consecutive_valid_count,valid_ratio_existing_init_window,expected_profile_source,readiness_state,readiness_reason,corridor_model_ready,semantic_detector_state,open_candidate_count,opening_group_count,junction_detected_raw,junction_detected_gated_eval,readiness_rising,false_readiness_eval_only,opening_visible_eval_only
M0_NEGATIVE_CONTROL,48,0.8166666666666675,True,0.0,84.0,1.7113073075602472,0.0,84.0,1.7113073075602472,0.0,8,True,True,0.0,0.0,-0.006295312508846962,9,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,54,0.9166666666666679,True,0.0,84.00000000000001,1.709795875656134,0.0,84.0,1.709795875656134,0.0,9,True,True,1.4210854715202004e-14,0.0,-0.0015114319041131807,10,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,60,1.016666666666668,True,0.0,84.0,1.7205723848551244,0.0,84.0,1.7205723848551244,0.0,10,True,True,-1.4210854715202004e-14,0.0,0.010776509198990425,11,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,66,1.1166666666666676,True,0.0,84.0,1.7291541566602113,0.0,84.0,1.7291541566602113,0.0,11,True,True,0.0,0.0,0.008581771805086902,12,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,72,1.2166666666666672,True,0.0,84.0,1.7339990283489755,0.0,84.0,1.7339990283489755,0.0,12,True,True,0.0,0.0,0.00484487168876413,13,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,78,1.3166666666666669,True,0.0,84.0,1.7364635490102884,0.0,84.0,1.7364635490102884,0.0,13,True,True,0.0,0.0,0.0024645206613129744,14,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,84,1.4166666666666665,True,0.0,84.00000000000003,1.737623193292574,0.0,84.0,1.737623193292574,0.0,14,True,True,2.842170943040401e-14,0.0,0.0011596442822856545,15,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,90,1.5166666666666662,True,0.0,84.0,1.7380832786029785,0.0,84.0,1.7380832786029785,0.0,15,True,True,-2.842170943040401e-14,0.0,0.00046008531040442335,16,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,96,1.6166666666666658,True,0.0,84.0,1.7385313343288615,0.0,84.0,1.7385313343288615,0.0,16,True,True,0.0,0.0,0.0004480557258830231,17,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,102,1.7166666666666655,True,0.0,84.0,1.740149187045965,0.0,84.0,1.740149187045965,0.0,17,True,True,0.0,0.0,0.001617852717103574,18,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,108,1.816666666666665,True,0.0,84.0,1.7445680172964764,0.0,84.0,1.7445680172964764,0.0,18,True,True,0.0,0.0,0.004418830250511263,19,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,114,1.9166666666666647,True,0.0,84.0,1.7505727250040692,0.0,84.0,1.7505727250040692,0.0,19,True,True,0.0,0.0,0.006004707707592871,20,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
