map_case,scope,metric,before_mean,after_mean,before_min,after_min,before_max,after_max
M1_CROSS_BASELINE,ALL,min_inter_robot_distance,1.6079785475363617,2.5982416256573484,0.23667872324531106,2.0814284858924377,2.7607029294097,2.97350655445976
M1_CROSS_BASELINE,ALL,overlap_pair_count,7.966666666666667,0.6333333333333333,0.0,0.0,22.0,11.0
M1_CROSS_BASELINE,ALL,mean_density,nan,0.05740091339561527,nan,0.03733445704608261,nan,0.1242799137063047
M1_CROSS_BASELINE,ALL,density_std,nan,0.011851163465228036,nan,0.00819487748090569,nan,0.021748836241269418
M1_CROSS_BASELINE,ALL,mean_neighbor_degree,38.75588235294118,37.02117647058823,27.541176470588237,23.61764705882353,79.2,79.36764705882354
M1_CROSS_BASELINE,ALL,reference_front_lateral_span,90.40095324235011,122.15599324766085,75.64936359294867,75.65750225005098,116.27374191166484,173.6338570487178
M1_CROSS_BASELINE,ALL,reference_front_lateral_variance,604.2322473052119,967.8522660297505,513.2952134090904,492.9789768149083,739.4244229071573,1482.65252024827
M1_CROSS_BASELINE,ALL,boundary_count,94.1,90.83333333333333,86.0,81.0,101.0,100.0
M1_CROSS_BASELINE,ALL,boundary_fraction,0.13838235294117646,0.13357843137254904,0.1264705882352941,0.11911764705882352,0.14852941176470588,0.14705882352941177
M1_CROSS_BASELINE,ALL,boundary_component_count,1.1333333333333333,1.7,1.0,1.0,2.0,3.0
M1_CROSS_BASELINE,ALL,boundary_largest_component_fraction,0.9680646285166797,0.9738724102599117,0.686046511627907,0.8297872340425532,1.0,1.0
M1_CROSS_BASELINE,ALL,wall_contact_count,2366.6666666666665,2761.4,0.0,0.0,5020.0,5467.0
M1_CROSS_BASELINE,ALL,outside_free_space_robot_count,0.0,0.0,0.0,0.0,0.0,0.0
M1_CROSS_BASELINE,JUNCTION_REGION,gt_mean_forward_progress,92.11738697313118,48.83330491720775,17.144872953439105,11.728193283361705,162.71841018749717,84.64036004712129
M1_CROSS_BASELINE,JUNCTION_REGION,mean_speed_sanity,60.75543270982018,32.17251973203274,55.83203485126754,29.630947299385255,65.2888770355075,33.05772361866393
M1_CROSS_BASELINE,JUNCTION_REGION,max_speed,86.42840007392,65.16999603548048,74.71773838525664,56.25694480511723,108.00000000000001,83.48167201474945
M1_CROSS_BASELINE,JUNCTION_REGION,min_inter_robot_distance,1.424937925861487,2.6355003283755383,0.23667872324531106,2.0814284858924377,2.7607029294097,2.97350655445976
M1_CROSS_BASELINE,JUNCTION_REGION,overlap_pair_count,9.56,0.3333333333333333,0.0,0.0,22.0,5.0
M1_CROSS_BASELINE,JUNCTION_REGION,mean_density,nan,0.04733664141651974,nan,0.03733445704608261,nan,0.06698832465620344
M1_CROSS_BASELINE,JUNCTION_REGION,density_std,nan,0.01044639962713703,nan,0.00819487748090569,nan,0.012012875408316139
M1_CROSS_BASELINE,JUNCTION_REGION,mean_neighbor_degree,33.077176470588235,30.404289215686276,27.541176470588237,23.61764705882353,47.061764705882354,43.65588235294118
M1_CROSS_BASELINE,JUNCTION_REGION,reference_front_lateral_span,92.45326043601662,132.43904699999277,81.75400732368675,92.83437996660115,116.27374191166484,173.6338570487178
M1_CROSS_BASELINE,JUNCTION_REGION,reference_front_lateral_variance,616.2994605227666,1077.4499811424962,518.0280537982902,577.5940093379396,739.4244229071573,1482.65252024827
M1_CROSS_BASELINE,JUNCTION_REGION,boundary_count,92.8,88.875,86.0,81.0,100.0,96.0
M1_CROSS_BASELINE,JUNCTION_REGION,boundary_fraction,0.13647058823529412,0.1306985294117647,0.1264705882352941,0.11911764705882352,0.14705882352941177,0.1411764705882353
M1_CROSS_BASELINE,JUNCTION_REGION,boundary_component_count,1.16,1.875,1.0,1.0,2.0,3.0
M1_CROSS_BASELINE,JUNCTION_REGION,boundary_largest_component_fraction,0.9616775542200157,0.9673405128248896,0.686046511627907,0.8297872340425532,1.0,1.0
M1_CROSS_BASELINE,JUNCTION_REGION,wall_contact_count,2803.36,3377.6666666666665,834.0,1111.0,5020.0,5467.0
M1_CROSS_BASELINE,JUNCTION_REGION,outside_free_space_robot_count,0.0,0.0,0.0,0.0,0.0,0.0
