case,gap_id,feature,value,matched_branch_eval_only,is_false_gap_eval_only
EXP035_F+0.700_L+0.100,4,free_continuation,44.720942080646466,RIGHT,False
EXP035_F+0.700_L+0.100,4,gap_tangent_deg_local,-178.6130590649435,RIGHT,False
EXP035_F+0.700_L+0.100,4,opening_normal_deg_local,91.3869409350565,RIGHT,False
EXP035_F+0.700_L+0.100,4,free_space_direction_deg_local,19.377044971856204,RIGHT,False
EXP035_F+0.700_L+0.100,4,normal_free_alignment,0.3088527260046389,RIGHT,False
EXP035_F+0.700_L+0.100,4,relative_opening_angle_deg,91.3869409350565,RIGHT,False
EXP035_F+0.700_L+0.100,4,endpoint_a_wall_tangent_deg,[-89.99999999999999],RIGHT,False
EXP035_F+0.700_L+0.100,4,endpoint_b_wall_tangent_deg,[0.0],RIGHT,False
EXP035_F+0.700_L+0.100,4,gap_boundary_wall_alignment_error_deg,1.3869409350564865,RIGHT,False
EXP035_F+0.700_L+0.100,4,endpoint_type_combination,WALL_TERMINATION+WALL_TERMINATION,RIGHT,False
EXP035_F+0.700_L+0.100,4,geometry_support,True,RIGHT,False
