frame,time,yaw_eval_only,psi_current_deg,psi_stable_deg,orientation_error_eval_only,left_wall_orientation_deg,right_wall_orientation_deg,parallel_error_deg,left_wall_perp_distance,right_wall_perp_distance,estimated_corridor_width,estimated_offset,orientation_initialized,orientation_frozen,opening_candidate_count,opening_group_count,junction_detected,opening_groups_json,GT_phase_eval_only,GT_opening_visible_eval_only,noise_std,dropout,occlusion
78,1.3166666666666669,10.0,10.0,10.0,0.0,10.0,10.0,0.0,42.63823748724219,41.36176251275782,84.00000000000001,1.1214130970863039,True,True,19,2,True,"[{""group_id"":0,""start_angle_deg"":-25.5,""end_angle_deg"":-16.5,""center_angle_deg"":-21.0,""angular_width_deg"":9.0,""beam_count"":9,""start_body_angle_deg"":-15.5,""end_body_angle_deg"":-6.5,""center_body_angle_deg"":-11.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":32.82798941570552,""max_delta_range"":52.129732060334774},{""group_id"":1,""start_angle_deg"":16.5,""end_angle_deg"":26.5,""center_angle_deg"":21.5,""angular_width_deg"":10.0,""beam_count"":10,""start_body_angle_deg"":26.5,""end_body_angle_deg"":36.5,""center_body_angle_deg"":31.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":31.564209578474333,""max_delta_range"":52.734845120275196}]",CORRIDOR,True,0.0,0.0,0.0
0,0.016666666666666666,-10.0,-10.0,nan,nan,-10.0,-10.0,0.0,40.599069852107654,43.40093014789238,nan,nan,False,False,0,0,False,[],CORRIDOR,False,0.0,0.0,0.0
6,0.11666666666666665,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,0.0,40.55135228793449,43.448647712065515,84.00000000000001,1.4486477120655117,True,False,0,0,False,[],CORRIDOR,False,0.0,0.0,0.0
12,0.21666666666666665,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,0.0,40.39358053802695,43.60641946197307,84.00000000000003,1.6064194619730578,True,False,0,0,False,[],CORRIDOR,False,0.0,0.0,0.0
18,0.31666666666666665,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,0.0,40.20280163558589,43.79719836441408,84.00000000000001,1.7971983644140934,True,False,0,0,False,[],CORRIDOR,False,0.0,0.0,0.0
24,0.41666666666666663,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,0.0,40.006647175242236,43.99335282475775,84.00000000000001,1.993352824757757,True,False,0,0,False,[],CORRIDOR,False,0.0,0.0,0.0
30,0.5166666666666666,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,0.0,39.78393808501831,44.21606191498168,84.00000000000001,2.216061914981683,True,False,0,0,False,[],CORRIDOR,True,0.0,0.0,0.0
36,0.6166666666666669,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,0.0,39.555312981020066,44.44468701897996,84.00000000000001,2.216061914981683,True,True,2,0,False,[],CORRIDOR,True,0.0,0.0,0.0
42,0.7166666666666672,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,0.0,39.348341558684695,44.6516584413153,84.00000000000001,2.216061914981683,True,True,4,2,True,"[{""group_id"":0,""start_angle_deg"":-19.5,""end_angle_deg"":-17.5,""center_angle_deg"":-18.5,""angular_width_deg"":2.0,""beam_count"":2,""start_body_angle_deg"":-29.5,""end_body_angle_deg"":-27.5,""center_body_angle_deg"":-28.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":9.177120400442945,""max_delta_range"":12.850042825084529},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":17.5,""center_angle_deg"":16.5,""angular_width_deg"":2.0,""beam_count"":2,""start_body_angle_deg"":5.5,""end_body_angle_deg"":7.5,""center_body_angle_deg"":6.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":11.331350736319976,""max_delta_range"":15.416724932394857}]",CORRIDOR,True,0.0,0.0,0.0
48,0.8166666666666675,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,0.0,39.145271117637485,44.8547288823625,84.00000000000001,2.216061914981683,True,True,7,2,True,"[{""group_id"":0,""start_angle_deg"":-21.5,""end_angle_deg"":-17.5,""center_angle_deg"":-19.5,""angular_width_deg"":4.0,""beam_count"":4,""start_body_angle_deg"":-31.5,""end_body_angle_deg"":-27.5,""center_body_angle_deg"":-29.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":15.190749832709677,""max_delta_range"":24.836103677032213},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":18.5,""center_angle_deg"":17.0,""angular_width_deg"":3.0,""beam_count"":3,""start_body_angle_deg"":5.5,""end_body_angle_deg"":8.5,""center_body_angle_deg"":7.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":15.805745393804699,""max_delta_range"":23.323241665665876}]",CORRIDOR,True,0.0,0.0,0.0
54,0.9166666666666679,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,0.0,38.927416224499275,45.07258377550073,84.00000000000001,2.216061914981683,True,True,9,2,True,"[{""group_id"":0,""start_angle_deg"":-22.5,""end_angle_deg"":-17.5,""center_angle_deg"":-20.0,""angular_width_deg"":5.0,""beam_count"":5,""start_body_angle_deg"":-32.5,""end_body_angle_deg"":-27.5,""center_body_angle_deg"":-30.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":17.564839459567157,""max_delta_range"":29.68021767983595},{""group_id"":1,""start_angle_deg"":15.5,""end_angle_deg"":19.5,""center_angle_deg"":17.5,""angular_width_deg"":4.0,""beam_count"":4,""start_body_angle_deg"":5.5,""end_body_angle_deg"":9.5,""center_body_angle_deg"":7.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":20.022521519786356,""max_delta_range"":30.432358965188797}]",CORRIDOR,True,0.0,0.0,0.0
60,1.016666666666668,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,0.0,38.67937913884945,45.320620861150545,84.00000000000001,2.216061914981683,True,True,12,2,True,"[{""group_id"":0,""start_angle_deg"":-23.5,""end_angle_deg"":-17.5,""center_angle_deg"":-20.5,""angular_width_deg"":6.0,""beam_count"":6,""start_body_angle_deg"":-33.5,""end_body_angle_deg"":-27.5,""center_body_angle_deg"":-30.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":19.698488069485716,""max_delta_range"":34.01072359814637},{""group_id"":1,""start_angle_deg"":14.5,""end_angle_deg"":20.5,""center_angle_deg"":17.5,""angular_width_deg"":6.0,""beam_count"":6,""start_body_angle_deg"":4.5,""end_body_angle_deg"":10.5,""center_body_angle_deg"":7.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":20.144375963111866,""max_delta_range"":36.90906107825563}]",CORRIDOR,True,0.0,0.0,0.0
66,1.1166666666666676,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,0.0,38.42391150274604,45.576088497254005,84.00000000000001,2.216061914981683,True,True,14,2,True,"[{""group_id"":0,""start_angle_deg"":-24.5,""end_angle_deg"":-17.5,""center_angle_deg"":-21.0,""angular_width_deg"":7.0,""beam_count"":7,""start_body_angle_deg"":-34.5,""end_body_angle_deg"":-27.5,""center_body_angle_deg"":-31.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":21.67584062587446,""max_delta_range"":37.94693255910964},{""group_id"":1,""start_angle_deg"":14.5,""end_angle_deg"":21.5,""center_angle_deg"":18.0,""angular_width_deg"":7.0,""beam_count"":7,""start_body_angle_deg"":4.5,""end_body_angle_deg"":11.5,""center_body_angle_deg"":8.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":24.113296681783773,""max_delta_range"":42.780837260981215}]",CORRIDOR,True,0.0,0.0,0.0
72,1.2166666666666672,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,0.0,38.17502864565782,45.824971354342196,84.00000000000001,2.216061914981683,True,True,17,2,True,"[{""group_id"":0,""start_angle_deg"":-26.5,""end_angle_deg"":-17.5,""center_angle_deg"":-22.0,""angular_width_deg"":9.0,""beam_count"":9,""start_body_angle_deg"":-36.5,""end_body_angle_deg"":-27.5,""center_body_angle_deg"":-32.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":25.98442608795924,""max_delta_range"":45.46535694697327},{""group_id"":1,""start_angle_deg"":14.5,""end_angle_deg"":22.5,""center_angle_deg"":18.5,""angular_width_deg"":8.0,""beam_count"":8,""start_body_angle_deg"":4.5,""end_body_angle_deg"":12.5,""center_body_angle_deg"":8.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":27.824240633444425,""max_delta_range"":48.0930146008576}]",CORRIDOR,True,0.0,0.0,0.0
78,1.3166666666666669,-10.0,-10.0,-10.0,0.0,-10.0,-10.0,0.0,37.94429013176894,46.05570986823105,84.00000000000001,2.216061914981683,True,True,19,2,True,"[{""group_id"":0,""start_angle_deg"":-27.5,""end_angle_deg"":-17.5,""center_angle_deg"":-22.5,""angular_width_deg"":10.0,""beam_count"":10,""start_body_angle_deg"":-37.5,""end_body_angle_deg"":-27.5,""center_body_angle_deg"":-32.5,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":27.679341307673905,""max_delta_range"":48.553582300393714},{""group_id"":1,""start_angle_deg"":14.5,""end_angle_deg"":23.5,""center_angle_deg"":19.0,""angular_width_deg"":9.0,""beam_count"":9,""start_body_angle_deg"":4.5,""end_body_angle_deg"":13.5,""center_body_angle_deg"":9.0,""mean_range"":150.0,""max_range"":150.0,""mean_delta_range"":31.265621095821547,""max_delta_range"":52.88900124626086}]",CORRIDOR,True,0.0,0.0,0.0
