map_case,frame,timestamp,old_profile_detected,new_55pct_detected,old_open_count,new_open_support_count,new_opening_count,comparison_only
M1_PRE_CORRIDOR_55PCT,180,3.016666666666661,False,True,0,198,3,True
M1_PRE_CORRIDOR_55PCT,186,3.1166666666666605,False,True,0,188,4,True
M1_PRE_CORRIDOR_55PCT,192,3.21666666666666,False,True,0,186,4,True
M1_PRE_CORRIDOR_55PCT,198,3.3166666666666598,False,True,0,184,4,True
M1_PRE_CORRIDOR_55PCT,204,3.4166666666666594,False,True,0,180,4,True
M1_PRE_CORRIDOR_55PCT,210,3.516666666666659,False,True,0,174,4,True
M1_PRE_CORRIDOR_55PCT,216,3.6166666666666587,False,True,0,172,4,True
M1_PRE_CORRIDOR_55PCT,222,3.7166666666666583,False,True,0,170,4,True
M1_PRE_CORRIDOR_55PCT,228,3.816666666666658,False,True,0,168,4,True
M1_PRE_CORRIDOR_55PCT,234,3.9166666666666576,False,True,0,172,4,True
M1_PRE_CORRIDOR_55PCT,240,4.016666666666658,False,True,0,172,4,True
M1_PRE_CORRIDOR_55PCT,246,4.116666666666657,False,True,0,172,4,True
M1_PRE_CORRIDOR_55PCT,252,4.216666666666657,False,True,0,172,4,True
M1_PRE_CORRIDOR_55PCT,258,4.316666666666657,False,True,0,170,4,True
M1_PRE_CORRIDOR_55PCT,264,4.416666666666656,False,True,0,170,4,True
M1_PRE_CORRIDOR_55PCT,270,4.516666666666656,False,True,0,170,4,True
M1_PRE_CORRIDOR_55PCT,276,4.616666666666656,False,True,0,172,4,True
M1_PRE_CORRIDOR_55PCT,282,4.716666666666655,False,True,0,172,4,True
M1_PRE_CORRIDOR_55PCT,288,4.816666666666655,False,True,0,170,4,True
M1_PRE_CORRIDOR_55PCT,294,4.9166666666666545,False,True,0,170,4,True
M1_PRE_CORRIDOR_55PCT,300,5.016666666666654,False,True,0,174,4,True
M1_PRE_CORRIDOR_55PCT,306,5.116666666666654,False,True,0,178,4,True
M1_PRE_CORRIDOR_55PCT,312,5.2166666666666535,False,True,0,184,4,True
M1_PRE_CORRIDOR_55PCT,318,5.316666666666653,False,True,0,186,4,True
M1_PRE_CORRIDOR_55PCT,324,5.416666666666653,False,True,0,186,4,True
M1_PRE_CORRIDOR_55PCT,330,5.516666666666652,False,True,0,191,4,True
M1_PRE_CORRIDOR_55PCT,336,5.616666666666652,False,True,0,194,4,True
