frame,timestamp,gap_id,endpoint_a,endpoint_b,gap_center_local,gap_width,gap_width_over_W_hat,free_continuation,accepted,rejection_reason,matched_branch_eval_only,endpoint_error_eval_only,center_error_eval_only,same_lateral_side_runtime,runtime_candidate_created,runtime_rejection_reason
162,2.716666666666662,2,1,10,"[21.36936553197806, -1.7698811491071922]",84.0000108713233,1.0000001294205154,128.55746604243666,True,NONE,NONE,59.89339986352559,58.49302726878583,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
162,2.716666666666662,3,2,6,"[106.04705389052194, -2.2188774694200184]",85.59134138800668,1.018944540333413,43.92973528795375,True,NONE,FORWARD,3.447059762491804,2.049218015914734,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
162,2.716666666666662,4,2,10,"[63.7191817040209, -2.392214654327894]",120.13926635027087,1.4302293613127486,86.23592854920247,True,NONE,NONE,42.92728775229473,39.37903625930254,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
162,2.716666666666662,5,6,10,"[63.71860581638303, 40.40345603580069]",84.65645420442414,1.0078149310050493,49.60041680973045,True,NONE,RIGHT,3.2040490451121726,2.1981017462179264,True,True,NONE
168,2.8166666666666615,0,1,2,"[59.577435649801615, -44.13643906881674]",85.55226322110393,1.018479324060761,53.04873436415248,True,NONE,LEFT,3.6555347441642043,2.3635251488640554,True,True,NONE
168,2.8166666666666615,1,1,5,"[60.79899079908939, -1.772917438740528]",121.64966943534773,1.4482103504208064,89.17516528232612,True,NONE,NONE,42.79458374671215,40.018523830805734,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
168,2.8166666666666615,2,1,10,"[16.939116095073132, -1.7729174387405031]",84.00044211310637,1.0000052632512664,132.9683562059631,True,NONE,NONE,59.861882092464725,58.466863304530136,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
168,2.8166666666666615,3,2,5,"[103.57357773558394, -2.136439068816763]",84.76225957074733,1.009074518699373,46.40439016616672,True,NONE,FORWARD,4.735773078405943,4.008580836320667,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
168,2.8166666666666615,4,2,10,"[59.713703031567675, -2.1364390688167383]",120.21138480781391,1.4310879143787372,90.24809039338558,True,NONE,NONE,42.96288279763212,39.63669879659734,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
168,2.8166666666666615,5,5,10,"[60.93525818085545, 40.22708256125948]",87.71974940803251,1.044282731048006,48.10615348142794,True,NONE,RIGHT,4.395210053782339,2.4150824271202445,True,True,NONE
