frame,time,profile_junction_detected,detection_latched,phase,forward_propulsion_enabled,leader_braking,leader_speed,stationary,stationary_dwell,stationary_dwell_target,anchor_active,pointcloud_ready,first_detection_time,detection_latch_time,hold_entry_time,braking_start_time,stationary_confirmation_time,anchor_entry_time,distance_since_detection_eval,distance_during_braking_eval,distance_since_anchor_eval,anchor_heading_drift_eval,leader_gap,connected_component_size,follower_mean_speed,follower_moving_fraction,mean_lateral_sph_force,lateral_span,min_robot_distance,overlap_pairs,max_speed,nan_inf_state_count,outside_free_space_robot_count,GT_phase_eval_only
192,3.21666666666666,False,False,LOCAL_FORWARD,True,False,40.52893943303099,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,11.204956219068526,680,32.50547041002394,1.0,34.06339273536004,81.7599700245253,2.9551241834553226,0,43.29676925945555,0,0,CORRIDOR_ONLY
198,3.3166666666666598,False,False,LOCAL_FORWARD,True,False,38.8703979211037,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,11.082851732572049,680,32.50528382206755,1.0,33.75362738914818,81.7599700245253,2.969323921383824,0,43.0005037833452,0,0,CORRIDOR_ONLY
204,3.4166666666666594,False,False,LOCAL_FORWARD,True,False,38.39793047611437,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,10.878177475971212,680,32.5046813524549,1.0,33.479499211729085,81.75999307357702,2.9659607092128333,0,42.69097823453341,0,0,CORRIDOR_ONLY
210,3.516666666666659,False,False,LOCAL_FORWARD,True,False,39.07740772061906,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,10.70796861620448,680,32.504246033968904,1.0,33.04670327315524,81.75999307357702,2.963705048076691,0,42.395398944613014,0,0,CORRIDOR_ONLY
216,3.6166666666666587,False,False,LOCAL_FORWARD,True,False,40.30244679523329,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,10.651119596055542,680,32.50404256562928,1.0,32.383162956104705,81.75999307357702,2.962383382519057,0,42.122340042058795,0,0,CORRIDOR_ONLY
222,3.7166666666666583,False,False,LOCAL_FORWARD,True,False,41.34835073387863,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,10.72656128056958,680,32.50411899130439,1.0,31.866451220608123,81.75999307357702,2.9611683145199597,0,41.94194191494257,0,0,CORRIDOR_ONLY
228,3.816666666666658,False,False,LOCAL_FORWARD,True,False,41.71010449085224,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,10.897328165575596,680,32.50443255112185,1.0,31.27514549120834,81.75999307357702,2.9605798514490256,0,41.712632089520575,0,0,CORRIDOR_ONLY
234,3.9166666666666576,False,False,LOCAL_FORWARD,True,False,41.182497721949744,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,11.090272485992877,680,32.50378557684346,1.0,30.936896520213626,81.75999307357702,2.963214453463039,0,41.33548936035206,0,0,CORRIDOR_ONLY
240,4.016666666666658,False,False,LOCAL_FORWARD,True,False,39.94293932407128,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,11.225189974171204,680,32.503535312166235,1.0,30.68440148846249,81.75999307357702,2.970236832949933,0,40.98269362510379,0,0,CORRIDOR_ONLY
246,4.116666666666657,False,False,LOCAL_FORWARD,True,False,38.471240910668854,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,11.256757411717722,680,32.50343963176514,1.0,30.01599562054412,81.75999307357702,2.985140996659295,0,40.76123645039864,0,0,CORRIDOR_ONLY
