mode,physics_frame,timestamp,viewpoint_step_index,state,state_after,leader_speed,leader_forward_speed,leader_lateral_speed,drive_force_magnitude,brake_force_magnitude,local_progress,drive_phase_progress,target_progress,remaining_progress,predicted_stopping_distance,brake_trigger_reason,support_gap,direct_support_present,communication_connected,communication_component_size,stationary_dwell,anchor_reached,nan_inf,outside_robot_count
BASELINE,95,1.5999999999999992,1,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,40.35278347830611,40.330206997933196,1.3496436384892636,260.0,0.0,4.157349348589804,4.157349348589804,8.4,4.242650651410196,11.494001742724278,NONE,6.3793906415197075,True,True,680,0,False,0,0
BASELINE,96,1.6166666666666658,1,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,41.32418490275454,41.29556371495911,1.5377500904889505,260.0,0.0,4.845608743839136,4.845608743839136,8.4,3.554391256160864,10.799733674327234,NONE,6.732810699870383,True,True,680,0,False,0,0
BASELINE,97,1.6333333333333324,1,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,41.591600849568806,41.560144477090944,1.6172978306978103,260.0,0.0,5.538277818457317,5.538277818457317,8.4,2.8617221815426834,10.063530893970789,NONE,7.092082174906725,True,True,680,0,False,0,0
BASELINE,98,1.649999999999999,1,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,41.251939143517355,41.221316758077016,1.5891909358974659,260.0,0.0,6.225299764425273,6.225299764425273,8.4,2.1747002355747274,9.29773830109101,NONE,7.381615807260075,True,True,680,0,False,0,0
BASELINE,99,1.6666666666666656,1,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,41.05522381071712,41.029504726273004,1.4529776546166284,260.0,0.0,6.90912484319648,6.90912484319648,8.4,1.4908751568035203,9.418664607462656,NONE,7.448433376030025,True,True,680,0,False,0,0
BASELINE,100,1.6833333333333322,1,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,40.99120006200727,40.97295322791245,1.2229416612431128,260.0,0.0,7.5920073969950295,7.5920073969950295,8.4,0.8079926030049709,9.562069944458708,NONE,7.5288081547286625,True,True,680,0,False,0,0
BASELINE,101,1.6999999999999988,1,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,41.07757024353804,41.06487254391971,1.0212835377262897,259.9994553569409,0.0,8.276421939393686,8.276421939393686,8.4,0.12357806060631482,9.751727719196076,NONE,7.619009202473249,True,True,680,0,False,0,0
BASELINE,102,1.7166666666666655,1,VIEWPOINT_ADVANCE,VIEWPOINT_REBRAKING,41.298240619452734,41.28967315356669,0.8411712868674438,259.85246283703407,0.0,8.964583158619803,8.964583158619803,8.4,0.0,9.954957637938941,TARGET_REACHED_BASELINE,7.720099673430777,True,True,680,0,False,0,0
BASELINE,103,1.733333333333332,1,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,40.98425075747866,40.97853357563441,0.6845408260238783,0.0,165.19296247781094,9.647558718213702,8.964583158619803,8.4,0.0,9.271982078345031,TARGET_REACHED_BASELINE,7.83344863930936,True,True,680,0,False,0,0
BASELINE,104,1.7499999999999987,1,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,40.23542045825367,40.23165671882232,0.550324550875759,0.0,163.93700302991465,10.318086330194063,8.964583158619803,8.4,0.0,8.601454466364661,TARGET_REACHED_BASELINE,7.956835645648312,True,True,680,0,False,0,0
